k,k_over_kopt,score
0.0655,0.5,0.12698520869016647
0.06951020408163265,0.5306122448979591,0.12501055672764777
0.07352040816326531,0.5612244897959184,0.11778349578380584
0.07753061224489796,0.5918367346938775,0.11458564922213554
0.08154081632653062,0.6224489795918368,0.11640460044145584
0.08555102040816327,0.653061224489796,0.11168863847851754
0.08956122448979592,0.6836734693877551,0.10628485381603242
0.09357142857142858,0.7142857142857143,0.1058896727859974
0.09758163265306123,0.7448979591836735,0.1037769816815853
0.10159183673469388,0.7755102040816326,0.10046307742595673
0.10560204081632654,0.8061224489795918,0.09857859164476394
0.10961224489795919,0.8367346938775511,0.09840267151594162
0.11362244897959184,0.8673469387755102,0.10049056410789489
0.1176326530612245,0.8979591836734694,0.09623729661107064
0.12164285714285715,0.9285714285714286,0.09669316634535789
0.1256530612244898,0.9591836734693877,0.09587799981236458
0.12966326530612246,0.989795918367347,0.09244099482893944
0.1336734693877551,1.020408163265306,0.09508036896586418
0.13768367346938776,1.0510204081632653,0.09713115096092224
0.14169387755102042,1.0816326530612246,0.09837445840239525
0.14570408163265308,1.1122448979591837,0.10148586183786393
0.14971428571428574,1.142857142857143,0.10448777601122856
0.15372448979591838,1.1734693877551021,0.10542247369885445
0.15773469387755104,1.2040816326530612,0.10582075268030167
0.16174489795918368,1.2346938775510203,0.10935221835970879
0.16575510204081634,1.2653061224489797,0.11147835403680802
0.169765306122449,1.2959183673469388,0.1131542980670929
0.17377551020408166,1.326530612244898,0.11474550813436508
0.1777857142857143,1.3571428571428572,0.11899671629071236
0.18179591836734696,1.3877551020408165,0.12217627540230751
0.1858061224489796,1.4183673469387754,0.12436831519007682
0.18981632653061226,1.4489795918367347,0.1288000226020813
0.19382653061224492,1.479591836734694,0.1299961730837822
0.19783673469387758,1.5102040816326532,0.13581083938479424
0.20184693877551022,1.5408163265306123,0.1412758208811283
0.20585714285714288,1.5714285714285716,0.1437102034687996
0.20986734693877554,1.6020408163265307,0.1454457975924015
0.21387755102040817,1.6326530612244898,0.15071194842457772
0.21788775510204084,1.6632653061224492,0.15268455371260642
0.2218979591836735,1.6938775510204083,0.15805443972349167
0.22590816326530616,1.7244897959183676,0.16261618509888648
0.2299183673469388,1.7551020408163267,0.1700933776795864
0.23392857142857146,1.7857142857142858,0.17346975803375245
0.23793877551020412,1.8163265306122451,0.1776063323020935
0.24194897959183675,1.8469387755102042,0.18263235166668892
0.24595918367346942,1.8775510204081634,0.1918423302471638
0.24996938775510208,1.9081632653061227,0.19756582304835318
0.2539795918367347,1.9387755102040816,0.20199630111455918
0.25798979591836735,1.9693877551020407,0.2074655145406723
0.262,2.0,0.21328812539577485
