x0,x0_over_x0opt,score
12.8,0.2048,0.41259776055812836
13.779591836734694,0.2204734693877551,0.4048560455441475
14.759183673469389,0.2361469387755102,0.3940332412719727
15.738775510204082,0.2518204081632653,0.38768778890371325
16.718367346938777,0.26749387755102044,0.37828604876995087
17.69795918367347,0.2831673469387755,0.3678382441401482
18.677551020408163,0.2988408163265306,0.36063248515129087
19.65714285714286,0.31451428571428575,0.35025628805160525
20.63673469387755,0.3301877551020408,0.3412484884262085
21.616326530612245,0.3458612244897959,0.3292128384113312
22.59591836734694,0.36153469387755105,0.31969606280326845
23.57551020408163,0.3772081632653061,0.3144776329398155
24.555102040816326,0.3928816326530612,0.3023304916918278
25.53469387755102,0.40855510204081635,0.2962466590106487
26.514285714285712,0.4242285714285714,0.28712499514222145
27.49387755102041,0.43990204081632656,0.27851515263319016
28.473469387755102,0.45557551020408166,0.26784577816724775
29.453061224489797,0.47124897959183676,0.25799193009734156
30.43265306122449,0.4869224489795918,0.2511060521006584
31.412244897959184,0.502595918367347,0.24326343983411788
32.39183673469388,0.5182693877551021,0.2352095790207386
33.37142857142857,0.533942857142857,0.22517385929822922
34.351020408163265,0.5496163265306122,0.21932561323046684
35.330612244897964,0.5652897959183674,0.21329359263181685
36.31020408163265,0.5809632653061224,0.20285171791911127
37.289795918367346,0.5966367346938776,0.1953040473163128
38.269387755102045,0.6123102040816327,0.19177095964550972
39.248979591836736,0.6279836734693878,0.18454295843839646
40.22857142857143,0.6436571428571428,0.17741259038448334
41.208163265306126,0.659330612244898,0.16883884891867637
42.18775510204082,0.6750040816326531,0.16579775810241698
43.16734693877551,0.6906775510204082,0.15773848220705985
44.14693877551021,0.7063510204081633,0.15265553891658784
45.12653061224489,0.7220244897959183,0.15151169449090957
46.10612244897959,0.7376979591836734,0.1410382032394409
47.08571428571429,0.7533714285714286,0.1385671988129616
48.06530612244897,0.7690448979591836,0.1329604782164097
49.04489795918367,0.7847183673469388,0.12915767282247542
50.02448979591837,0.8003918367346939,0.12403850778937339
51.004081632653055,0.8160653061224489,0.12130614295601845
51.98367346938775,0.831738775510204,0.11936122924089432
52.96326530612245,0.8474122448979592,0.11259852722287178
53.942857142857136,0.8630857142857141,0.11081822291016578
54.922448979591834,0.8787591836734694,0.10703908726572992
55.90204081632653,0.8944326530612245,0.10726614445447921
56.88163265306122,0.9101061224489795,0.10122822746634483
57.861224489795916,0.9257795918367346,0.09805865213274956
58.840816326530614,0.9414530612244898,0.09935429245233536
59.8204081632653,0.9571265306122447,0.0973001852631569
60.8,0.9728,0.09402112364768982
