step,train_loss,val_loss,lr,elapsed_sec
1,5.799277305603027,5.62802267074585,2.9999999999999997e-06,0.9349310398101807
50,1.9991458654403687,2.007210999727249,0.00015,45.01437163352966
100,0.5637032985687256,0.5436599031090736,0.0003,90.0951087474823
150,0.03719071298837662,0.05188875924795866,0.00045,135.27048420906067
200,0.021941419690847397,0.023494925582781434,0.0006,180.1347677707672
250,0.020345445722341537,0.02321180305443704,0.0005964524757330841,222.43429589271545
300,0.02454444020986557,0.025030741933733225,0.0005856067880837029,264.0527141094208
350,0.02046825923025608,0.02279050275683403,0.0005677285134371153,304.91132831573486
400,0.02045544609427452,0.023434369126334786,0.000543257874249712,345.58828926086426
450,0.02017812803387642,0.022523370338603854,0.0005127974188716822,385.7231402397156
500,0.021501915529370308,0.021954723866656423,0.00047709718480688833,425.8601050376892
550,0.021744759753346443,0.024352735141292214,0.0004370362303002898,463.2055735588074
600,0.019923921674489975,0.021797878434881568,0.00039360098900652444,500.2001757621765
650,0.021097958087921143,0.02198202721774578,0.00034786098071954585,537.9101631641388
700,0.022361593320965767,0.021691952599212527,0.00030094247624576386,575.7026746273041
750,0.01967374049127102,0.022046903148293495,0.0002540007648789118,621.5449869632721
800,0.02215905487537384,0.021555189043283463,0.00020819170734344978,666.7062776088715
850,0.018442276865243912,0.021558303851634264,0.00016464327466744644,712.3563928604126
900,0.019923010841012,0.02140163048170507,0.00012442777379234704,756.9352607727051
950,0.0195000059902668,0.02126093371771276,8.853544381729156e-05,799.2425637245178
1000,0.019211526960134506,0.021258932072669268,5.7850073026079904e-05,841.3085165023804
1050,0.020063169300556183,0.02116618538275361,3.312723708649866e-05,883.5176322460175
1100,0.019855361431837082,0.02118028304539621,1.4975694269768457e-05,925.0058755874634
1150,0.01992136985063553,0.021087164990603924,3.8423958015542545e-06,967.7207596302032
1200,0.018698198720812798,0.021093297516927123,1.4804394425360633e-09,1012.2529695034027
