step,train_loss,val_loss,lr,elapsed_sec
1,11.035560607910156,10.936054706573486,2.9999999999999997e-06,0.5786778926849365
50,7.999327659606934,8.032496750354767,0.00015,43.03933811187744
100,7.33425235748291,7.126660346984863,0.0003,86.69306111335754
150,6.790948867797852,6.717403948307037,0.00045,129.98887586593628
200,6.691542625427246,6.361148655414581,0.0006,173.50081133842468
250,6.291782855987549,6.0818228125572205,0.0005995467292351614,216.92043948173523
300,6.002694606781006,6.119735300540924,0.0005981511624702299,260.196875333786
350,5.870882034301758,5.871199071407318,0.0005958175018428611,300.3900725841522
400,5.7505083084106445,5.7871206402778625,0.0005925530899127599,343.66322350502014
450,5.615455150604248,5.560787856578827,0.0005883681977275744,387.24138355255127
500,5.682496070861816,5.516943097114563,0.0005832759925063802,430.5387189388275
550,5.29038143157959,5.416122674942017,0.0005772924962107378,475.1171889305115
600,5.485726356506348,5.341412425041199,0.0005704365351336736,518.4208149909973
650,5.205791473388672,5.281246662139893,0.0005627296806651974,561.8075902462006
700,4.891766548156738,5.221850752830505,0.0005541961814207284,605.0689237117767
750,5.014794826507568,5.133602797985077,0.0005448628869459807,648.1472480297089
800,5.199638366699219,5.080692410469055,0.0005347591632383578,689.8081820011139
850,5.256583213806152,5.038754820823669,0.000523916800350662,732.9288785457611
900,4.98168420791626,5.045428693294525,0.0005123699123678255,776.0376136302948
950,4.908130168914795,4.961588263511658,0.0005001548300713798,816.1591322422028
1000,4.883543014526367,4.956880152225494,0.0004873099866293746,857.5386502742767
1050,4.650928497314453,4.848549902439117,0.00047387579667141266,901.8288073539734
1100,4.552361965179443,4.837216794490814,0.00045989452912927357,944.9085755348206
1150,4.437705993652344,4.80770742893219,0.00044541017424321543,988.147242307663
1200,4.754234790802002,4.7172680497169495,0.0004304683051524051,1031.5852749347687
1250,4.445784091949463,4.694720149040222,0.0004151159345049614,1074.7540736198425
1300,4.152524948120117,4.635137736797333,0.0003994013665387712,1116.0804588794708
1350,4.735481262207031,4.589243650436401,0.0003833740450984865,1159.2095382213593
1400,4.195696830749512,4.547459661960602,0.0003670843980668962,1202.3391547203064
1450,4.154910564422607,4.534084737300873,0.0003505836787001504,1243.8297114372253
1500,4.452085971832275,4.506883323192596,0.0003339238043660554,1287.1473450660706
1550,4.259078025817871,4.487927556037903,0.0003171571931928259,1331.6204493045807
1600,4.196383476257324,4.442862868309021,0.0003003365991422617,1374.612744808197
1650,4.2257184982299805,4.415319621562958,0.0002835149460262663,1417.969994544983
1700,4.404301643371582,4.381445407867432,0.00026674516098895473,1461.3874452114105
1750,3.8512537479400635,4.325190305709839,0.0002500800079782774,1502.9055614471436
1800,3.8237781524658203,4.3027772307395935,0.0002335719217311187,1546.1946721076965
1850,3.866515874862671,4.289886057376862,0.00021727284279421573,1589.699150800705
1900,3.55472993850708,4.256468176841736,0.00020123405409998258,1631.196361064911
1950,4.164036750793457,4.23665976524353,0.00018550601961143145,1674.4352164268494
2000,3.549727439880371,4.197498261928558,0.00017013822554387594,1717.8747293949127
2050,3.4535622596740723,4.158493399620056,0.00015517902466298826,1762.456749200821
2100,4.012968063354492,4.142855167388916,0.0001406754841491114,1805.9602637290955
2150,3.9220495223999023,4.124459326267242,0.00012667323750649505,1847.4272184371948
2200,3.525467872619629,4.118942737579346,0.00011321634098340925,1890.4938533306122
2250,4.0748090744018555,4.1024469435215,0.00010034713495488778,1933.8473072052002
2300,3.6714015007019043,4.100907891988754,8.810611070424406e-05,1977.1072454452515
2350,3.202042579650879,4.0848996341228485,7.653178302251346e-05,2020.1976056098938
2400,2.814350128173828,4.055204898118973,6.566056902667127e-05,2063.4022932052612
2450,3.9199299812316895,4.0352893471717834,5.5526673577910466e-05,2107.087866306305
2500,4.016951084136963,4.033870548009872,4.6161981660493007e-05,2150.2096552848816
2550,3.3067774772644043,4.0325393080711365,3.759595805979335e-05,2194.5818881988525
2600,3.378023624420166,4.021587312221527,2.9855554655182855e-05,2237.7518658638
2650,3.533904552459717,4.013764530420303,2.2965125619445813e-05,2281.0762555599213
2700,3.180365562438965,4.008230686187744,1.6946350791541953e-05,2324.328945875168
2750,3.5412654876708984,4.007642328739166,1.1818167463811967e-05,2367.528140068054
2800,3.6797423362731934,4.0062523782253265,7.596710798250061e-06,2410.7114765644073
2850,3.555781364440918,4.005017340183258,4.295263059314625e-06,2452.26456451416
2900,3.672152042388916,4.002272427082062,1.9242118230103464e-06,2495.478814125061
2950,3.9112470149993896,4.0027938187122345,4.910172937311662e-07,2538.6686136722565
3000,3.254568099975586,4.002773851156235,1.888316970455328e-10,2578.830171585083
