step,train_loss,val_loss,lr,elapsed_sec
1,11.03319263458252,10.935538291931152,2.9999999999999997e-06,0.8778111934661865
50,7.964052677154541,8.000689446926117,0.00015,43.100953340530396
100,7.257615089416504,7.015159368515015,0.0003,86.19602704048157
150,6.632911682128906,6.571717858314514,0.00045,129.3857421875
200,6.566103935241699,6.2635422348976135,0.0006,172.63567519187927
250,6.157260894775391,5.944619297981262,0.0005995467292351614,215.73496794700623
300,5.8454270362854,5.918186008930206,0.0005981511624702299,259.1391878128052
350,5.757516860961914,5.778972625732422,0.0005958175018428611,302.2318081855774
400,5.625435829162598,5.5744118094444275,0.0005925530899127599,345.4393382072449
450,5.400722980499268,5.4414567947387695,0.0005883681977275744,388.639830827713
500,5.52447509765625,5.337643802165985,0.0005832759925063802,431.7162411212921
550,5.1468353271484375,5.212092101573944,0.0005772924962107378,474.4417405128479
600,5.343539237976074,5.180969595909119,0.0005704365351336736,517.596485376358
650,5.063893795013428,5.134737253189087,0.0005627296806651974,560.8670864105225
700,4.7113189697265625,5.097036838531494,0.0005541961814207284,604.1482179164886
750,4.872817039489746,4.970677852630615,0.0005448628869459807,647.3906507492065
800,5.045036792755127,4.928575038909912,0.0005347591632383578,688.8089513778687
850,5.104568958282471,4.855454206466675,0.000523916800350662,731.9399182796478
900,4.805527210235596,4.866568863391876,0.0005123699123678255,775.3638081550598
950,4.7380266189575195,4.809998869895935,0.0005001548300713798,815.5324051380157
1000,4.720653533935547,4.766714096069336,0.0004873099866293746,858.8010611534119
1050,4.427513122558594,4.670004904270172,0.00047387579667141266,903.0697200298309
1100,4.364593982696533,4.5390520095825195,0.00045989452912927357,946.2187645435333
1150,4.17402458190918,4.4547340869903564,0.00044541017424321543,989.5100874900818
1200,4.5177764892578125,4.273053884506226,0.0004304683051524051,1032.522428035736
1250,4.155845642089844,4.156173914670944,0.0004151159345049614,1075.81866979599
1300,3.754112482070923,4.054310470819473,0.0003994013665387712,1119.0917406082153
1350,4.494177341461182,3.9630721509456635,0.0003833740450984865,1162.3449425697327
1400,3.88761830329895,3.9114594161510468,0.0003670843980668962,1205.579472064972
1450,3.8520798683166504,3.8271194398403168,0.0003505836787001504,1248.8648219108582
1500,4.124025344848633,3.790412813425064,0.0003339238043660554,1290.5499336719513
1550,3.9502546787261963,3.752913862466812,0.0003171571931928259,1334.9510316848755
1600,3.845789670944214,3.699909657239914,0.0003003365991422617,1378.3033051490784
1650,3.948169708251953,3.6618708670139313,0.0002835149460262663,1421.4842426776886
1700,4.106555938720703,3.6583048701286316,0.00026674516098895473,1464.7585864067078
1750,3.3724546432495117,3.582797646522522,0.0002500800079782774,1506.1078929901123
1800,3.427260160446167,3.5596257150173187,0.0002335719217311187,1549.4497909545898
1850,3.5002543926239014,3.5575927793979645,0.00021727284279421573,1592.5627512931824
1900,3.142435073852539,3.5249677300453186,0.00020123405409998258,1636.0563933849335
1950,3.879622459411621,3.4875058829784393,0.00018550601961143145,1679.6577234268188
2000,3.082901954650879,3.4591427743434906,0.00017013822554387594,1721.0334537029266
2050,3.060509204864502,3.42567777633667,0.00015517902466298826,1767.6892104148865
2100,3.618891716003418,3.404372215270996,0.0001406754841491114,1810.823539018631
2150,3.64188551902771,3.410347282886505,0.00012667323750649505,1854.0159139633179
2200,3.257693290710449,3.4097001552581787,0.00011321634098340925,1894.1789617538452
2250,3.7038967609405518,3.395120531320572,0.00010034713495488778,1934.4511466026306
2300,3.343194007873535,3.396577149629593,8.810611070424406e-05,1977.5791790485382
2350,2.9352338314056396,3.3780861496925354,7.653178302251346e-05,2017.7520689964294
2400,2.548267364501953,3.35712668299675,6.566056902667127e-05,2060.840970993042
2450,3.6771135330200195,3.3363751769065857,5.5526673577910466e-05,2106.055884361267
2500,3.779672622680664,3.336120158433914,4.6161981660493007e-05,2149.2350430488586
2550,3.0521559715270996,3.3308194279670715,3.759595805979335e-05,2193.583264350891
2600,3.040304660797119,3.3225196301937103,2.9855554655182855e-05,2236.7552576065063
2650,3.1556904315948486,3.3166651725769043,2.2965125619445813e-05,2279.932380914688
2700,2.7831273078918457,3.314466029405594,1.6946350791541953e-05,2323.1639256477356
2750,3.207901954650879,3.3122346997261047,1.1818167463811967e-05,2366.3829650878906
2800,3.4285593032836914,3.3143307268619537,7.596710798250061e-06,2409.6822118759155
2850,3.2889931201934814,3.310619533061981,4.295263059314625e-06,2449.8392877578735
2900,3.400684118270874,3.3088924288749695,1.9242118230103464e-06,2493.0792315006256
2950,3.625474452972412,3.308777242898941,4.910172937311662e-07,2536.3930366039276
3000,2.9605231285095215,3.3089102506637573,1.888316970455328e-10,2579.869649410248
