d,L,search_mode,num_samples,k_optimal,x0_optimal,k_formula,x0_formula,score_optimal,score_formula,score_standard,score_optimal_short,score_optimal_mid,score_optimal_long,score_formula_short,score_formula_mid,score_formula_long,score_standard_short,score_standard_mid,score_standard_long
64,4096,coarse,1500,0.26999999999999996,29.0,0.1949476445324846,15.68,0.07320590317249298,0.19865692853927613,0.17143376022577286,0.19504813849925995,0.11398757994174957,0.0,0.5193971395492554,0.3159250020980835,0.0,0.5253117084503174,0.22123806178569794,0.0
64,8192,coarse,1500,0.26999999999999996,29.0,0.21119328157685832,15.68,0.07224830985069275,0.19150091707706451,0.16541069895029067,0.19504813849925995,0.11079561710357666,0.0,0.5201829671859741,0.2915477454662323,0.0,0.5253117084503174,0.201161190867424,0.0
64,16384,coarse,1500,0.27999999999999997,29.0,0.22743891862123206,15.68,0.1133696660399437,0.24590678960084916,0.21482762992382048,0.19363397359848022,0.11694473773241043,0.07911889255046844,0.5122449994087219,0.2899111211299896,0.11296890676021576,0.5253117084503174,0.1993999034166336,0.09989063441753387
64,32768,coarse,1500,0.29,27.0,0.24368455566560576,15.68,0.11872413009405136,0.25339644476771356,0.21096005737781526,0.21065907180309296,0.12106917053461075,0.08054311573505402,0.5142077803611755,0.29687681794166565,0.12298368662595749,0.5253117084503174,0.19905981421470642,0.09235954284667969
64,65536,coarse,1500,0.27999999999999997,29.0,0.25993019270997947,15.68,0.12186096608638763,0.2533724993467331,0.21389464437961578,0.19363397359848022,0.11275539547204971,0.0986151173710823,0.5182158350944519,0.30397069454193115,0.11707624793052673,0.5253117084503174,0.19970907270908356,0.09783916175365448
64,131072,coarse,1500,0.29,29.0,0.2761758297543532,15.68,0.12189455330371857,0.2546827979385853,0.21328289732336997,0.2031983733177185,0.11337075382471085,0.09448730200529099,0.5120066404342651,0.3113000690937042,0.11778289824724197,0.5253117084503174,0.20010875165462494,0.09637586027383804
128,4096,coarse,1500,0.13999999999999999,58.0,0.0974738222662423,31.36,0.06554068624973297,0.2014333367347717,0.1741341918706894,0.1897600293159485,0.09196226298809052,0.0,0.5258834362030029,0.3208554983139038,0.0,0.534458339214325,0.22414174675941467,0.0
128,8192,coarse,1500,0.13999999999999999,58.0,0.10559664078842916,31.36,0.06489855796098709,0.1928364336490631,0.1662201017141342,0.1897600293159485,0.08982183784246445,0.0,0.5244042277336121,0.293185293674469,0.0,0.534458339214325,0.1977614462375641,0.0
128,16384,coarse,1500,0.12999999999999998,58.0,0.11371945931061603,31.36,0.09939727932214737,0.23197554126381875,0.20388368517160416,0.18990178406238556,0.09161070734262466,0.06786741316318512,0.5230327844619751,0.29051142930984497,0.08043111115694046,0.534458339214325,0.19347700476646423,0.07789783179759979
128,32768,coarse,1500,0.12999999999999998,58.0,0.12184227783280288,31.36,0.10037866979837418,0.24607145935297015,0.1999296709895134,0.18990178406238556,0.09360198676586151,0.06863541901111603,0.5217615365982056,0.2957534193992615,0.10598625242710114,0.534458339214325,0.19466033577919006,0.06927980482578278
128,65536,coarse,1500,0.12999999999999998,58.0,0.12996509635498973,31.36,0.09969449043273926,0.24706742241978646,0.20056346133351327,0.18990178406238556,0.09100528061389923,0.06882509589195251,0.5205816030502319,0.3088838756084442,0.1005718782544136,0.534458339214325,0.1956084817647934,0.0699784979224205
128,131072,coarse,1500,0.13999999999999999,58.0,0.1380879148771766,31.36,0.09903773665428162,0.24508614838123322,0.1999192140996456,0.1897600293159485,0.08978863060474396,0.06829828768968582,0.5195059776306152,0.31603941321372986,0.09274625778198242,0.534458339214325,0.19662348926067352,0.06808099895715714
256,4096,coarse,1500,0.06999999999999999,116.0,0.04873691113312115,62.72,0.0630481168627739,0.20287898182868958,0.17538591027259826,0.18950386345386505,0.08382447808980942,0.0,0.5291463732719421,0.32349902391433716,0.0,0.5390576720237732,0.22524791955947876,0.0
256,8192,coarse,1500,0.06999999999999999,116.0,0.05279832039421458,62.72,0.061009228229522705,0.1939506620168686,0.1665721356868744,0.18950386345386505,0.07702817767858505,0.0,0.5278139114379883,0.29462626576423645,0.0,0.5390576720237732,0.19586867094039917,0.0
256,16384,coarse,1500,0.07999999999999999,116.0,0.056859729655308014,62.72,0.08805570006370544,0.23101737350225449,0.1956361696124077,0.2129449099302292,0.08049070090055466,0.04263901710510254,0.5265565514564514,0.2929134964942932,0.07566402852535248,0.5390576720237732,0.1917307823896408,0.060610800981521606
256,32768,coarse,1500,0.06999999999999999,116.0,0.06092113891640144,62.72,0.08615251630544662,0.24569531828165053,0.18994530066847803,0.18950386345386505,0.07741697877645493,0.050053298473358154,0.5253764986991882,0.2995449900627136,0.10151304304599762,0.5390576720237732,0.1925860345363617,0.04871591180562973
256,65536,coarse,1500,0.06999999999999999,114.0,0.06498254817749487,62.72,0.08671051263809204,0.2458082675933838,0.19103170111775397,0.19314788281917572,0.07964882254600525,0.04837258160114288,0.5242729783058167,0.310945600271225,0.09533998370170593,0.5390576720237732,0.1940860152244568,0.049988724291324615
256,131072,coarse,1500,0.06999999999999999,116.0,0.0690439574385883,62.72,0.08566324412822723,0.24689650908112526,0.1902111779898405,0.18950386345386505,0.07742518931627274,0.049069829285144806,0.5232431292533875,0.3168875277042389,0.0943632498383522,0.5390576720237732,0.19408243894577026,0.04834982380270958
