d,L,k_optimal,x0_optimal,k_formula_v1,x0_formula_v1,k_formula_v2,x0_formula_v2,score_standard,score_grid_opt,score_formula_v1,score_formula_v2,k_error_pct_v2,x0_error_pct_v2,improve_v2_pct
64,4096,0.245,31.0,0.596238688988391,15.5,0.23155462828623555,30.384920634920633,0.17364140152931212,0.06841938942670822,0.2274904578924179,0.07105618640780449,5.487906821944673,1.9841269841269913,59.07877626994987
64,8192,0.243,31.0,0.6600177382615168,15.5,0.23927073630685386,30.384920634920633,0.1666933223605156,0.06784181296825409,0.2207642883062363,0.07050087973475457,1.5346764169325657,1.9841269841269913,57.70623637683641
64,16384,0.267,30.0,0.7237967875346425,15.5,0.24724396863298273,30.384920634920633,0.2152434691786766,0.10262304544448853,0.26817528530955315,0.11649935469031333,7.399262684276136,1.2830687830687755,45.87554496549877
64,32768,0.244,31.0,0.7875758368077681,15.5,0.2554828934324482,30.384920634920633,0.21569030582904816,0.10921338200569153,0.31535831838846207,0.11971240863204002,4.706103865757452,1.9841269841269913,44.49801154859426
64,65536,0.268,30.5,0.8513548860808938,15.5,0.2639963643906189,30.384920634920633,0.2111715294420719,0.11262258887290955,0.32500598579645157,0.1179877482354641,1.4938938840974276,0.3773093937028437,44.1270570198573
64,131072,0.254,31.0,0.9151339353540195,15.5,0.27279353022472386,30.384920634920633,0.2170461967587471,0.11305484920740128,0.33122400045394895,0.12117122635245323,7.399027647529076,1.9841269841269913,44.17261018070802
128,4096,0.126,63.0,0.2981193444941955,31.5,0.11577731414311777,60.769841269841265,0.17569012343883517,0.060003139078617096,0.2260642647743225,0.06317155137658119,8.113242743557322,3.5399344923154517,64.04376629709992
128,8192,0.126,63.0,0.3300088691307584,31.5,0.11963536815342693,60.769841269841265,0.16759080439805984,0.05840703099966049,0.22007164955139158,0.06080881804227829,5.051295116327834,3.5399344923154517,63.71589821966255
128,16384,0.125,63.0,0.36189839376732125,31.5,0.12362198431649137,60.769841269841265,0.2004692293703556,0.08592081815004349,0.2581092484295368,0.09427675008773803,1.102412546806908,3.5399344923154517,52.971959644955255
128,32768,0.131,62.5,0.39378791840388405,31.5,0.1277414467162241,60.769841269841265,0.20166519805788993,0.09000792354345322,0.3157550111413002,0.09401804059743882,2.4874452547907757,2.7682539682539757,53.37914449152995
128,65536,0.115,63.0,0.4256774430404469,31.5,0.13199818219530945,60.769841269841265,0.2004272557795048,0.09188812971115112,0.32443311512470246,0.09382617399096489,14.781027995921258,3.5399344923154517,53.1869188020089
128,131072,0.131,62.5,0.4575669676770098,31.5,0.13639676511236193,60.769841269841265,0.20088160112500192,0.09076280891895294,0.32891822010278704,0.0956823043525219,4.119668024703758,2.7682539682539757,52.368806393084256
256,4096,0.06500000000000003,121.0,0.14905967224709776,63.5,0.05788865707155889,121.53968253968253,0.1772378906607628,0.05893176794052124,0.2262752503156662,0.058419663459062576,10.940527582217138,0.4460186278368022,67.03884071218208
256,8192,0.06500000000000003,121.0,0.1650044345653792,63.5,0.059817684076713465,121.53968253968253,0.16770595014095308,0.05773879587650299,0.22004870176315308,0.055870655179023745,7.9727937281331736,0.4460186278368022,66.68534710183765
256,16384,0.06000000000000001,121.0,0.18094919688366062,63.5,0.06181099215824568,121.53968253968253,0.1930100228637457,0.0775720626115799,0.2559991434216499,0.07917148135602474,3.018320263742784,0.4460186278368022,58.98063728435731
256,32768,0.06600000000000003,121.0,0.19689395920194203,63.5,0.06387072335811204,121.53968253968253,0.1947535950690508,0.07896140217781067,0.31427969634532926,0.0801676020026207,3.2261767301333113,0.4460186278368022,58.836394278525695
256,65536,0.06700000000000003,118.0,0.21283872152022346,63.5,0.06599909109765473,121.53968253968253,0.19095760397613049,0.08179780095815659,0.32332170754671097,0.0793339803814888,1.4938938840974685,2.9997309658326534,58.454662852071884
256,131072,0.07000000000000003,120.5,0.2287834838385049,63.5,0.06819838255618096,121.53968253968253,0.19168008118867874,0.07931405305862427,0.3296206220984459,0.07919630967080593,2.5737392054558135,0.8628070868734695,58.683077980935494
