model,length,loss,ppl,status
Standard,512,3.235098640124003,25.408877990115542,ok
Standard,1024,3.5660513242085776,35.376626164048766,ok
Standard,2048,3.1877055962880454,24.23276386678872,ok
Standard,4096,4.32077169418335,75.24667331275197,ok
Standard,8192,3.7123777071634927,40.95106049032939,ok
Standard,16384,4.026679039001465,56.07438085664355,ok
Standard,32768,6.022845268249512,412.7513147962821,ok
Sigmoid,512,3.2464069922765098,25.697841300312376,ok
Sigmoid,1024,2.876363436381022,17.749608092484436,ok
Sigmoid,2048,3.040066202481588,20.90662725988555,ok
Sigmoid,4096,3.0104634761810303,20.296804831187906,ok
Sigmoid,8192,3.20662784576416,24.69566805253493,ok
Sigmoid,16384,2.945758819580078,19.025093523939926,ok
Sigmoid,32768,4.993831634521484,147.50051016526973,ok
Anchored-20,512,4.054167787233989,57.63717663730797,ok
Anchored-20,1024,4.267167170842488,71.31931375138878,ok
Anchored-20,2048,3.9466120402018228,51.75970962768953,ok
Anchored-20,4096,4.0076924959818525,55.01976564200716,ok
Anchored-20,8192,3.7874671618143716,44.14444781399168,ok
Anchored-20,16384,3.7825212478637695,43.92665221682536,ok
Anchored-20,32768,4.824904441833496,124.57456369750946,ok
Anchored-alpha*,512,3.6497313578923545,38.46433152186049,ok
Anchored-alpha*,1024,3.6088184912999473,36.922402893274025,ok
Anchored-alpha*,2048,3.734656572341919,41.873642526489604,ok
Anchored-alpha*,4096,4.042184392611186,56.950609523051575,ok
Anchored-alpha*,8192,3.2640817960103354,26.156083341291293,ok
Anchored-alpha*,16384,3.2409603595733643,25.558255080000077,ok
Anchored-alpha*,32768,4.134006023406982,62.42750873893782,ok
