arm,target_length,prompt_sha8,example_id,layer,n_frozen_heads_in_layer,hit16_all_heads,hit16_frozen_heads,dense_answer_mass_all_heads,dense_answer_mass_frozen_heads,block_rank_median_all_heads,block_rank_median_frozen_heads
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,7,0,0.21875,nan,0.00011226783481366187,nan,49.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,8,0,0.1875,nan,0.00018732450551656445,nan,62.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,9,0,0.28125,nan,0.00017310726286190773,nan,47.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,10,0,0.28125,nan,0.00014375544138431752,nan,35.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,11,1,0.125,0.0,2.1938688875270208e-05,0.0003176646423526108,36.5,44.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,12,0,0.09375,nan,3.8815446465320896e-06,nan,61.5,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,13,5,0.71875,0.8,0.004075622005978468,0.009851300078366876,5.0,2.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,14,3,0.59375,0.6666666666666666,0.0013302272805556653,0.00012149413184185202,10.0,7.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,15,1,0.53125,1.0,0.0003575198469780716,0.001775832730345428,11.5,1.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,16,1,0.46875,0.0,0.041364698733483425,0.0002973478694912046,28.0,43.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,17,4,0.3125,0.75,0.003229309742423938,0.019373605120861725,36.0,6.5
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,18,0,0.59375,nan,0.01687383592402547,nan,11.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,19,1,0.65625,1.0,0.002893891923775982,0.012656020931899548,9.5,2.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,20,2,0.71875,1.0,0.014902651993408109,0.10023108776658773,3.0,1.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,21,1,0.3125,0.0,0.00040522566768819987,4.6564022682105133e-07,32.0,47.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,22,1,0.5,1.0,0.013386174414752289,0.3013348877429962,18.0,1.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,23,1,0.59375,1.0,0.030413050304360333,0.03305276110768318,14.0,2.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,24,1,0.4375,1.0,0.018767418079937318,0.0018402428831905127,20.0,12.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,25,0,0.28125,nan,0.02334631373301657,nan,44.5,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,26,2,0.5,0.0,0.000286643299834431,0.00034622128259798046,17.5,22.5
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,27,1,0.4375,1.0,0.007264225050360898,0.053270015865564346,37.5,1.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,28,1,0.25,1.0,0.00024100398278216549,0.00011527863534865901,38.5,6.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,29,1,0.5,0.0,0.0007810893087302623,0.00011324808292556554,17.0,27.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,30,4,0.34375,0.75,0.0005468627125255754,0.0010994345912536119,29.5,11.5
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,31,1,0.15625,1.0,9.814028252529174e-05,7.90361882536672e-05,60.0,15.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,0,0,0.03125,nan,8.687982860832303e-05,nan,88.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,1,0,0.0625,nan,6.110188613206446e-05,nan,55.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,2,0,0.6875,nan,0.00032579534470894567,nan,12.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,3,0,0.40625,nan,0.00017601577768999732,nan,20.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,4,0,0.125,nan,0.00014615397390826956,nan,55.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,5,0,0.4375,nan,0.000261581703585978,nan,22.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,6,0,0.46875,nan,0.0001975752604201561,nan,24.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,7,0,0.15625,nan,3.0857939705768514e-05,nan,62.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,8,0,0.40625,nan,0.00022174702272679484,nan,21.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,9,0,0.09375,nan,0.00012165315452898406,nan,42.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,10,0,0.3125,nan,0.0002027289139685721,nan,30.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,11,1,0.09375,1.0,0.00016587549790625887,0.0019574963953346014,35.5,5.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,12,0,0.21875,nan,7.286707534096725e-05,nan,47.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,13,5,0.65625,0.8,0.0007452468410807263,0.0016937612831384285,5.0,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,14,3,0.625,0.6666666666666666,0.0003333325600674454,0.00015618325657366464,8.0,7.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,15,1,0.4375,1.0,0.0002663022558751703,0.004147248342633247,19.5,2.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,16,1,0.53125,1.0,0.009887461095044887,0.004156255628913641,14.0,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,17,4,0.5,0.5,0.003513804150143074,0.015802379863032456,15.5,21.5
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,18,0,0.5,nan,0.00234997599395087,nan,17.0,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,19,1,0.5,1.0,0.002110393662636767,0.03301607444882393,15.5,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,20,2,0.4375,1.0,0.004530488625474102,0.03949478268623352,22.0,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,21,1,0.25,0.0,0.0009218647117559273,5.721496165733697e-09,30.0,80.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,22,1,0.4375,1.0,0.0027487136486692,0.046043071895837784,26.5,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,23,1,0.28125,1.0,0.02039792442211564,0.07877974212169647,33.0,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,24,1,0.625,1.0,0.009786842064890777,0.00824972428381443,10.0,7.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,25,0,0.46875,nan,0.0012158495528427366,nan,17.5,nan
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,26,2,0.25,0.0,0.0012573912423272798,5.5979410831241694e-05,36.0,49.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,27,1,0.4375,1.0,0.001916058894867676,0.003744050394743681,21.0,15.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,28,1,0.21875,1.0,0.0011674091676425102,0.0006421467987820506,31.5,1.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,29,1,0.28125,0.0,0.0009382859727059342,4.773776527144946e-05,37.5,97.0
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,30,4,0.34375,0.75,0.0005049553118196548,0.0013222432226029923,28.5,10.5
evq,16384,933bec9a,passkey-L16384-d25p0-t00-s42,31,1,0.1875,0.0,0.00016249743022294904,2.2618846742261667e-06,45.0,65.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,0,0,0.03125,nan,7.896559029280739e-05,nan,88.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,1,0,0.0625,nan,8.267035161679814e-05,nan,55.5,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,2,0,0.6875,nan,0.00036437528074159675,nan,12.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,3,0,0.40625,nan,0.00017944159563398898,nan,20.5,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,4,0,0.125,nan,0.00015107841250561194,nan,55.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,5,0,0.46875,nan,0.00025883106501822795,nan,20.5,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,6,0,0.46875,nan,0.00020099865532119052,nan,25.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,7,0,0.15625,nan,3.19460046768142e-05,nan,61.5,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,8,0,0.4375,nan,0.00025939268534356727,nan,21.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,9,0,0.09375,nan,0.00013939218184011567,nan,43.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,10,0,0.3125,nan,0.00014137874775868047,nan,32.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,11,1,0.09375,1.0,0.00014015311843491472,0.0016779203433543444,35.0,5.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,12,0,0.21875,nan,5.613438250754563e-05,nan,47.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,13,5,0.65625,0.8,0.0008387473094609783,0.0019755389417468903,5.0,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,14,3,0.6875,0.6666666666666666,0.00043204825780564834,0.00022076472911673287,8.0,7.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,15,1,0.4375,1.0,0.000313452295931737,0.004959828685969114,19.0,2.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,16,1,0.53125,1.0,0.011400422426985678,0.006491765379905701,14.0,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,17,4,0.5,0.5,0.004146133483471787,0.019319625309321964,16.0,22.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,18,0,0.53125,nan,0.0037178028748319214,nan,16.0,nan
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,19,1,0.46875,1.0,0.0028593242356258486,0.05360275134444237,17.5,1.0
evq,16384,c4b929f0,passkey-L16384-d25p0-t01-s42,20,2,0.40625,1.0,0.008122711007467392,0.06324506923556328,21.5,1.0
