arm,prompt_sha256,prompt_sha8,depth_percent,matched_pair,answer_position,layer,gold_token_id,delta_gold_raw,delta_gold_centred,delta_median_vocab,delta_mad_vocab,delta_gold_z,causal_delta_rank,l2_centred,kl_full_abl,kl_abl_full,tvd,gold_rank_full,gold_rank_ablated,gold_logprob_full,gold_logprob_ablated,gold_logit_full,gold_logit_ablated,gap_to_best_competitor_full,gap_to_best_competitor_ablated,best_competitor_id_full,best_competitor_id_ablated,entropy_full,top1_prob_full,gold_prob_full
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,0,24963,-0.015625,-0.01953125,0.00390625,0.01953125,-0.674490749835968,93433,10.223549842834473,0.0005278430180624127,0.0005169669166207314,0.01312168501317501,117456,117301,-16.13702392578125,-16.10964012145996,-2.53125,-2.515625,13.03125,12.953125,47523,47523,9.628267288208008,0.0447898730635643,9.812497125949449e-08
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,1,24963,0.125,0.0625,0.0625,0.046875,0.8993210792541504,18210,24.94305992126465,0.003086891956627369,0.00306839682161808,0.030991511419415474,65085,66738,-14.596184730529785,-14.606130599975586,1.3671875,1.2421875,12.0078125,11.8828125,54759,54759,8.321961402893066,0.07514223456382751,4.580970767165127e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,2,24963,0.078125,0.046875,0.03125,0.03125,1.0117361545562744,12711,15.08776569366455,0.0012039218563586473,0.0012012425577268004,0.01890755258500576,15665,16190,-12.226982116699219,-12.248632431030273,4.0625,3.984375,9.5625,9.640625,120896,120896,7.9568376541137695,0.06963544338941574,4.896538030152442e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,3,24963,0.03125,0.0029296875,0.0283203125,0.0283203125,0.06977490335702896,51259,14.353060722351074,0.0010872513521462679,0.0011002460960298777,0.01913168467581272,3365,3353,-10.0963773727417,-10.081576347351074,4.96875,4.9375,6.90625,6.8125,63364,63364,8.873387336730957,0.041166625916957855,4.122863902011886e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,4,24963,0.0625,0.0390625,0.0234375,0.0234375,1.124151349067688,12626,12.561296463012695,0.0008145488682202995,0.0008147768676280975,0.015973977744579315,1494,1549,-9.312864303588867,-9.341537475585938,5.3125,5.25,5.5625,5.5625,117077,117077,9.223869323730469,0.023509174585342407,9.025564941111952e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,5,24963,0.0625,0.046875,0.015625,0.015625,2.023472309112549,5351,10.912531852722168,0.0006814755033701658,0.0006826920434832573,0.014941027387976646,5306,5528,-10.520843505859375,-10.559050559997559,4.25,4.1875,6.9375,6.9375,61599,61599,9.054685592651367,0.027782658115029335,2.6968433303409256e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,6,24963,0.0625,0.046875,0.015625,0.01953125,1.6187777519226074,8584,11.572220802307129,0.0006670508300885558,0.0006620249478146434,0.01484072208404541,3400,3520,-10.072488784790039,-10.109308242797852,4.5,4.4375,6.0625,6.125,34704,34704,9.1187744140625,0.01813358999788761,4.222539428155869e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,7,24963,0.0,-0.015625,0.015625,0.01953125,-0.5395926237106323,77144,11.337909698486328,0.0007506610709242523,0.0007430927944369614,0.015752537176012993,3926,3864,-10.249188423156738,-10.228199005126953,4.40625,4.40625,6.65625,6.59375,95361,95361,8.947851181030273,0.027517346665263176,3.538620876497589e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,8,24963,0.015625,0.0,0.015625,0.0234375,0.0,55223,13.638090133666992,0.0008994772797450423,0.0008896407671272755,0.017114952206611633,19731,19759,-11.951359748840332,-11.94942855834961,2.21875,2.203125,8.84375,8.796875,99074,99074,9.13508129119873,0.04470770061016083,6.450455657613929e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,9,24963,-0.0625,-0.0625,0.0,0.02880859375,-1.4633020162582397,120514,14.335064888000488,0.0009368332102894783,0.0009365087607875466,0.01674138568341732,41466,39958,-13.11248779296875,-13.044977188110352,1.4296875,1.4921875,8.9453125,8.8828125,125563,125563,9.17759895324707,0.015495962463319302,2.0198490346956532e-06
