step,train_loss,val_loss,lr,elapsed_sec
1,5.8008527755737305,5.6297454833984375,2.9999999999999997e-06,0.8406119346618652
50,1.9896842241287231,2.004732206463814,0.00015,39.97981309890747
100,0.16376613080501556,0.1512524727731943,0.0003,80.77861738204956
150,0.027546890079975128,0.03938211686909199,0.00045,124.44125509262085
200,0.021118607372045517,0.023103390587493777,0.0006,164.88729739189148
250,0.029714543372392654,0.037263476522639394,0.0005964524757330841,205.0920159816742
300,0.022476445883512497,0.02300381218083203,0.0005856067880837029,241.9253113269806
350,0.021551096811890602,0.023245223332196474,0.0005677285134371153,279.0912742614746
400,0.020931364968419075,0.02448489679954946,0.000543257874249712,315.896999835968
450,0.02031872607767582,0.021778693422675133,0.0005127974188716822,353.0711486339569
500,0.037986479699611664,0.032184200594201684,0.00047709718480688833,390.2260479927063
550,0.02024843916296959,0.022278759395703673,0.0004370362303002898,427.02269530296326
600,0.019690368324518204,0.021960067795589566,0.00039360098900652444,466.5659427642822
650,0.023064151406288147,0.023227818543091416,0.00034786098071954585,507.0705919265747
700,0.02184554561972618,0.02181382244452834,0.00030094247624576386,546.9133048057556
750,0.0195804163813591,0.02208646317012608,0.0002540007648789118,586.0085673332214
