L,index,theta_sigmoid,log_theta_sigmoid,k,x0
4096,0,1.0,0.0,0.2981193444941955,31.5
4096,1,0.9997329558064441,-0.00026707985620574273,0.2981193444941955,31.5
4096,2,0.9993732983745695,-0.0006268980849795072,0.2981193444941955,31.5
4096,3,0.9988889727928864,-0.0011116448553661763,0.2981193444941955,31.5
4096,4,0.9982368816798649,-0.0017646744425948299,0.2981193444941955,31.5
4096,5,0.9973591237413331,-0.0026443695239166394,0.2981193444941955,31.5
4096,6,0.9961779857153408,-0.0038293368451639185,0.2981193444941955,31.5
4096,7,0.9945893029345648,-0.005425387902544352,0.2981193444941955,31.5
4096,8,0.9924537085892559,-0.007574908728420437,0.2981193444941955,31.5
4096,9,0.9895851938052834,-0.01046941981319735,0.2981193444941955,31.5
4096,10,0.9857363218841615,-0.01436638216732426,0.2981193444941955,31.5
4096,11,0.9805794266105228,-0.019611630394516015,0.2981193444941955,31.5
4096,12,0.9736832652721874,-0.026669217884169816,0.2981193444941955,31.5
4096,13,0.9644850527889509,-0.03616094412403757,0.2981193444941955,31.5
4096,14,0.9522588485511645,-0.0489183814101884,0.2981193444941955,31.5
4096,15,0.9360833391274392,-0.06605076893883512,0.2981193444941955,31.5
4096,16,0.9148157872667683,-0.0890325593668029,0.2981193444941955,31.5
4096,17,0.8870850570993963,-0.1198144082605323,0.2981193444941955,31.5
4096,18,0.8513257221757609,-0.16096047137678596,0.2981193444941955,31.5
4096,19,0.8058867017177977,-0.215812114944539,0.2981193444941955,31.5
4096,20,0.7492578551948975,-0.28867208876304806,0.2981193444941955,31.5
4096,21,0.6804562735386905,-0.38499171532738563,0.2981193444941955,31.5
4096,22,0.599581107263929,-0.5115240221494948,0.2981193444941955,31.5
4096,23,0.5084564743883976,-0.676375663246757,0.2981193444941955,31.5
4096,24,0.41112806812451896,-0.8888505117472956,0.2981193444941955,31.5
4096,25,0.3138197176428002,-1.1589366055941466,0.2981193444941955,31.5
4096,26,0.22396396611419805,-1.4962701056289653,0.2981193444941955,31.5
4096,27,0.1483084617120733,-1.9084609733940296,0.2981193444941955,31.5
4096,28,0.09082296062022271,-2.3988431550744167,0.2981193444941955,31.5
4096,29,0.05160983849556611,-2.964042956150829,0.2981193444941955,31.5
4096,30,0.027538907147170135,-3.592155468852069,0.2981193444941955,31.5
4096,31,0.014086695827546765,-4.262524485359408,0.2981193444941955,31.5
4096,32,0.007098896804774353,-4.947815886616775,0.2981193444941955,31.5
4096,33,0.0036312261581620525,-5.618184903124113,0.2981193444941955,31.5
4096,34,0.0019376150539318444,-6.246297415825353,0.2981193444941955,31.5
4096,35,0.0011010431648242705,-6.811497216901765,0.2981193444941955,31.5
4096,36,0.0006742703608789391,-7.3018793985821535,0.2981193444941955,31.5
4096,37,0.00044650039796585223,-7.714070266347217,0.2981193444941955,31.5
4096,38,0.000318654292187667,-8.051403766382036,0.2981193444941955,31.5
4096,39,0.00024323321065423576,-8.321489860228885,0.2981193444941955,31.5
4096,40,0.0001966736683219268,-8.533964708729426,0.2981193444941955,31.5
4096,41,0.00016678310705340669,-8.698816349826687,0.2981193444941955,31.5
4096,42,0.00014696021462180553,-8.825348656648798,0.2981193444941955,31.5
4096,43,0.0001334654008718907,-8.921668283213135,0.2981193444941955,31.5
4096,44,0.00012408692163159402,-8.994528257031643,0.2981193444941955,31.5
4096,45,0.00011746385360520626,-9.049379900599396,0.2981193444941955,31.5
4096,46,0.00011272876168941626,-9.090525963715649,0.2981193444941955,31.5
4096,47,0.00010931162469197657,-9.121307812609379,0.2981193444941955,31.5
4096,48,0.00010682809512795524,-9.144289603037347,0.2981193444941955,31.5
4096,49,0.0001050134636733987,-9.161421990565993,0.2981193444941955,31.5
4096,50,0.00010368227035850405,-9.174179427852145,0.2981193444941955,31.5
4096,51,0.00010270280240674116,-9.183671154092012,0.2981193444941955,31.5
4096,52,0.00010198052017638258,-9.190728741581665,0.2981193444941955,31.5
4096,53,0.00010144700746022778,-9.195973989808857,0.2981193444941955,31.5
4096,54,0.00010105244159471175,-9.199870952162986,0.2981193444941955,31.5
4096,55,0.00010076036709273526,-9.202765463247763,0.2981193444941955,31.5
4096,56,0.00010054401319715288,-9.204914984073639,0.2981193444941955,31.5
4096,57,0.00010038366781232525,-9.206511035131019,0.2981193444941955,31.5
4096,58,0.00010026478689529221,-9.207696002452264,0.2981193444941955,31.5
4096,59,0.00010017662323968311,-9.208575697533588,0.2981193444941955,31.5
4096,60,0.00010011122629615261,-9.209228727120816,0.2981193444941955,31.5
4096,61,0.00010006270946266537,-9.209713473891203,0.2981193444941955,31.5
4096,62,0.00010002671155252072,-9.210073292119976,0.2981193444941955,31.5
4096,63,0.0001,-9.210340371976182,0.2981193444941955,31.5
8192,0,1.0,0.0,0.3300088691307584,31.5
8192,1,0.9998898995314783,-0.0001101065300231723,0.3300088691307584,31.5
8192,2,0.9997367764645281,-0.0002632581848672278,0.3300088691307584,31.5
8192,3,0.9995238327279513,-0.0004762806756850028,0.3300088691307584,31.5
8192,4,0.9992277239451278,-0.0007725744136447567,0.3300088691307584,31.5
8192,5,0.9988160199427778,-0.0011846815153397612,0.3300088691307584,31.5
8192,6,0.9982436910005354,-0.0017578531183468041,0.3300088691307584,31.5
8192,7,0.9974482562561439,-0.0025550049910159967,0.3300088691307584,31.5
8192,8,0.9963431045815965,-0.003663598206373334,0.3300088691307584,31.5
8192,9,0.9948083376063288,-0.005205185899500361,0.3300088691307584,31.5
8192,10,0.9926782892681488,-0.007348646011287792,0.3300088691307584,31.5
8192,11,0.9897246579867497,-0.010328497782651403,0.3300088691307584,31.5
8192,12,0.9856339842542429,-0.014470206019892089,0.3300088691307584,31.5
8192,13,0.9799781100449185,-0.020225044255845644,0.3300088691307584,31.5
8192,14,0.9721764627232816,-0.028217944987574285,0.3300088691307584,31.5
8192,15,0.961449898877615,-0.03931282256250308,0.3300088691307584,31.5
8192,16,0.946768122429817,-0.05470107065666599,0.3300088691307584,31.5
8192,17,0.9267975290134328,-0.07602015257611833,0.3300088691307584,31.5
8192,18,0.8998654581573508,-0.10551001776898697,0.3300088691307584,31.5
8192,19,0.8639722497958218,-0.14621462898575777,0.3300088691307584,31.5
8192,20,0.8169049852089533,-0.20223248805903865,0.3300088691307584,31.5
8192,21,0.7565318158481343,-0.27901068999811607,0.3300088691307584,31.5
8192,22,0.6813652093480008,-0.38365683266368455,0.3300088691307584,31.5
8192,23,0.5914339440636156,-0.5252052770938175,0.3300088691307584,31.5
8192,24,0.48933301928194817,-0.7147120002703756,0.3300088691307584,31.5
8192,25,0.3809963286269149,-0.9649655400516938,0.3300088691307584,31.5
8192,26,0.2754050442316773,-1.2895123768361565,0.3300088691307584,31.5
8192,27,0.18256084114449692,-1.7006717853828373,0.3300088691307584,31.5
8192,28,0.11009772233800642,-2.2063869226790533,0.3300088691307584,31.5
8192,29,0.06043009011369122,-2.8062681174019177,0.3300088691307584,31.5
8192,30,0.030561634024649717,-3.4880098467202663,0.3300088691307584,31.5
8192,31,0.014609694853541817,-4.2260699395744155,0.3300088691307584,31.5
8192,32,0.006844769928631126,-4.984270432401768,0.3300088691307584,31.5
8192,33,0.0032720763529641246,-5.722330525255915,0.3300088691307584,31.5
8192,34,0.0016548047473016062,-6.404072254574264,0.3300088691307584,31.5
8192,35,0.0009082840033056655,-7.0039534492971285,0.3300088691307584,31.5
8192,36,0.0005477625945032212,-7.509668586593345,0.3300088691307584,31.5
8192,37,0.0003631015556704102,-7.920827995140025,0.3300088691307584,31.5
8192,38,0.00026246972079860536,-8.245374831924488,0.3300088691307584,31.5
8192,39,0.00020435980418149777,-8.495628371705807,0.3300088691307584,31.5
8192,40,0.0001690805896477999,-8.685135094882366,0.3300088691307584,31.5
8192,41,0.00014676417085587637,-8.826683539312498,0.3300088691307584,31.5
8192,42,0.000132182147406308,-8.931329681978067,0.3300088691307584,31.5
8192,43,0.00012241325712368067,-9.008107883917143,0.3300088691307584,31.5
8192,44,0.00011574445825503382,-9.064125742990424,0.3300088691307584,31.5
8192,45,0.00011112772369857319,-9.104830354207195,0.3300088691307584,31.5
8192,46,0.0001078984318251788,-9.134320219400063,0.3300088691307584,31.5
8192,47,0.00010562248308842165,-9.155639301319516,0.3300088691307584,31.5
