d,L,k_optimal,x0_optimal,k_formula_v1,x0_formula_v1,k_formula_v2,x0_formula_v2,score_standard,score_grid_opt,score_formula_v1,score_formula_v2,k_error_pct_v2,x0_error_pct_v2,improve_v2_pct
64,4096,0.24700000000000005,31.0,0.596238688988391,15.5,0.22909106151825545,30.44047619047619,0.16116510927677155,0.06711729615926743,0.22749047577381132,0.07075306326150893,7.250582381273117,1.8049155145929359,56.099019459600584
64,8192,0.25000000000000006,31.0,0.6600177382615168,15.5,0.23651416413395696,30.44047619047619,0.1557314544916153,0.06657695770263672,0.22077442705631256,0.07002063319087029,5.394334346417239,1.8049155145929359,55.037578362410876
64,16384,0.25900000000000006,30.5,0.7237967875346425,15.5,0.24417779316774765,30.44047619047619,0.20181655138731003,0.11125968396663666,0.268305366486311,0.12062547281384468,5.722859780792435,0.1951600312256072,40.230138715258285
64,32768,0.24500000000000005,31.0,0.7875758368077681,15.5,0.25208974225536096,30.44047619047619,0.20267850384116173,0.11426656693220139,0.31539207845926287,0.11700573340058326,2.893772349126901,1.8049155145929359,42.27027968773632
64,65536,0.24300000000000005,31.0,0.8513548860808938,15.5,0.26025805756511466,30.44047619047619,0.2046402372419834,0.11413505673408508,0.32515077441930773,0.1190701000392437,7.102081302516301,1.8049155145929359,41.81491301808576
64,131072,0.25700000000000006,31.0,0.9151339353540195,15.5,0.2686910459805752,30.44047619047619,0.20576411709189416,0.11564327776432037,0.3311305224895477,0.12158890515565873,4.549045128628455,1.8049155145929359,40.908596273198995
128,4096,0.12499999999999993,63.0,0.2981193444941955,31.5,0.11454553075912773,60.88095238095238,0.16308289766311646,0.05770232155919075,0.22606427371501925,0.06289740651845932,8.363575392697769,3.3635676492819373,61.4322486172721
128,8192,0.12499999999999993,63.0,0.3300088691307584,31.5,0.11825708206697848,60.88095238095238,0.15598351508378983,0.05722859874367714,0.22006896436214446,0.06094164699316025,5.394334346417165,3.3635676492819373,60.93071312027802
128,16384,0.12999999999999995,62.0,0.36189839376732125,31.5,0.12208889658387383,60.88095238095238,0.19029910564422609,0.08967278897762299,0.2583134189248085,0.0939784213900566,6.085464166250866,1.8049155145929359,50.61541615137484
128,32768,0.11899999999999993,63.0,0.39378791840388405,31.5,0.12604487112768048,60.88095238095238,0.18950569108128548,0.09106330573558807,0.31577952653169633,0.09384038969874382,5.920059771160134,3.3635676492819373,50.4814925803508
128,65536,0.12200000000000004,63.0,0.4256774430404469,31.5,0.13012902878255733,60.88095238095238,0.1909956194460392,0.09187036752700806,0.32439541816711426,0.0960682787001133,6.663138346358435,3.3635676492819373,49.70131829266647
128,131072,0.12799999999999995,63.0,0.4575669676770098,31.5,0.1343455229902876,60.88095238095238,0.1916980877518654,0.09121270477771759,0.32888068705797197,0.0953768327832222,4.957439836162228,3.3635676492819373,50.2463306224117
256,4096,0.06500000000000004,121.0,0.14905967224709776,63.5,0.05727276537956386,121.76190476190476,0.16443808525800707,0.055989086627960205,0.22627526819705962,0.05866804644465447,11.888053262209501,0.6296733569460821,64.32210557997986
256,8192,0.06600000000000004,121.0,0.1650044345653792,63.5,0.05912854103348924,121.76190476190476,0.15632814913988113,0.05472975969314575,0.22006278336048127,0.05653161853551865,10.411301464410306,0.6296733569460821,63.83785079874858
256,16384,0.06700000000000005,121.0,0.18094919688366062,63.5,0.06104444829193691,121.76190476190476,0.18428062088787556,0.07856137305498123,0.2559050194919109,0.08234901949763299,8.888883146362877,0.6296733569460821,55.31325046504062
256,32768,0.06500000000000004,120.0,0.19689395920194203,63.5,0.06302243556384024,121.76190476190476,0.18111880123615265,0.0790209099650383,0.3142546653747559,0.0793954949826002,3.0424068248612346,1.468253968253966,56.16385795360913
256,65536,0.06600000000000004,120.0,0.21283872152022346,63.5,0.06506451439127867,121.76190476190476,0.18156675882637502,0.0789850652217865,0.32337251752614976,0.08071882054209709,1.4174024374566334,1.468253968253966,55.54317262484966
256,131072,0.06600000000000004,121.0,0.2287834838385049,63.5,0.0671727614951438,121.76190476190476,0.18169246092438698,0.0794043019413948,0.32947160601615905,0.07990340404212475,1.7769113562784136,0.6296733569460821,56.022719029945165
