b,L_train,L_eval,alloc,tau,n_wL_le1,erank_raw,erank_whit,C_cos,C_full,cond_whit,erank_raw_sym,erank_whit_sym,C_cos_sym,C_full_sym,logdet_erank_sym
500000.0,4096,4096,geometric,,24,16.161724,17.538123,400.92276,516.70088,3.2780034e+10,22.665589,26.111244,361.27884,393.30791,0.00039459002
500000.0,4096,8192,geometric,,20,20.961801,22.466362,313.99849,416.56624,1.6547008e+11,29.126974,32.626019,279.0047,306.52076,0.0048889275
500000.0,4096,16384,geometric,,17,27.005577,28.595831,238.15333,327.58447,4.4593239e+09,37.116541,40.451083,207.99702,230.80208,0.059769991
500000.0,4096,4096,EVQ-Cosh tau=0.5,0.5,23,17.413272,18.840746,375.69012,486.6253,4.1492142e+10,24.292485,27.825229,337.98499,368.401,0.00067574268
500000.0,4096,8192,EVQ-Cosh tau=0.5,0.5,20,22.499523,24.053351,293.13319,390.63931,2.005655e+11,31.04321,34.607679,260.04498,286.09374,0.0079783552
500000.0,4096,16384,EVQ-Cosh tau=0.5,0.5,16,28.832782,30.465498,221.57812,306.02657,6.2982943e+09,39.28548,42.669451,193.21797,214.6624,0.095054674
500000.0,4096,4096,EVQ-Cosh tau=1.0,1.0,21,21.280819,22.842443,311.42254,409.52659,7.1669435e+09,29.245306,33.023681,279.11879,304.54375,0.0028212859
500000.0,4096,8192,EVQ-Cosh tau=1.0,1.0,18,27.200518,28.881562,240.29157,324.57462,3.3807341e+10,36.785392,40.490879,212.22084,234.26898,0.032798129
500000.0,4096,16384,EVQ-Cosh tau=1.0,1.0,15,34.340929,36.080545,179.82981,251.29616,2.2031083e+09,45.695923,49.12453,155.88227,174.3464,0.3809383
500000.0,4096,4096,EVQ-Cosh tau=1.4,1.4,18,26.382289,28.080321,248.52623,332.99754,1.3614007e+10,35.627761,39.580343,221.36026,242.62682,0.013373167
500000.0,4096,8192,EVQ-Cosh tau=1.4,1.4,15,33.295542,35.095254,189.04228,259.76997,6.9185328e+10,44.010119,47.838404,166.18925,183.84979,0.16146844
