b,L_train,L_eval,alloc,tau,n_wL_le1,erank_raw,erank_whit,C_cos,C_full,cond_whit,erank_raw_sym,erank_whit_sym,C_cos_sym,C_full_sym,logdet_erank_sym
500000.0,4096,4096,geometric,,6,9.1078999,9.9195783,21.834083,28.616613,7.8545152e+09,11.512936,13.44657,20.266972,21.702164,0.096570733
500000.0,4096,8192,geometric,,5,10.912349,11.758187,17.12236,23.082371,2.7150307e+08,13.701406,15.523516,14.962853,16.936889,1.1965727
500000.0,4096,16384,geometric,,4,13.01183,13.83012,13.100169,18.130511,6.9795288e+09,16.217678,17.754056,10.557308,12.840449,15.359111
500000.0,4096,4096,EVQ-Cosh tau=0.5,0.5,6,9.6070475,10.395548,20.62376,27.124692,2.7960681e+08,12.071498,14.032004,19.402875,20.133125,0.16473205
500000.0,4096,8192,EVQ-Cosh tau=0.5,0.5,5,11.423384,12.261277,15.764257,21.485712,6.2521019e+09,14.229877,16.08269,14.441076,15.661478,1.812867
500000.0,4096,16384,EVQ-Cosh tau=0.5,0.5,4,13.531518,14.379624,11.942321,16.828475,2.7740916e+08,16.703867,18.348217,10.06776,11.771255,22.114157
500000.0,4096,4096,EVQ-Cosh tau=1.0,1.0,5,10.990302,11.865884,16.956157,22.642556,1.4320486e+08,13.616223,15.554293,15.003459,16.852421,0.61580584
500000.0,4096,8192,EVQ-Cosh tau=1.0,1.0,5,12.980357,13.83785,13.346652,17.949969,9.2797815e+09,15.949452,17.642212,10.861444,13.085395,5.5926021
500000.0,4096,16384,EVQ-Cosh tau=1.0,1.0,4,15.160845,15.937603,9.683165,13.958062,66994008,18.288591,19.841349,8.8316747,9.5482507,59.966189
500000.0,4096,4096,EVQ-Cosh tau=1.4,1.4,5,12.7448,13.597644,13.862876,18.465318,4.9554749e+10,15.555445,17.317579,11.739752,13.658797,2.3202863
500000.0,4096,8192,EVQ-Cosh tau=1.4,1.4,4,14.792967,15.601678,10.024338,14.427419,3.7264534e+08,17.683249,19.527729,9.6209944,9.866023,18.941137
500000.0,4096,16384,EVQ-Cosh tau=1.4,1.4,3,16.961942,17.838187,7.3471212,10.636695,3.5216056e+10,20.077522,21.639553,5.9899263,7.3141837,169.86012
500000.0,4096,4096,EVQ-Cosh tau=2.0,2.0,4,15.969447,16.847588,8.9735406,12.210534,1.6314969e+10,18.885736,20.558051,7.2883709,8.7423366,20.95245
