[init] device=cuda  dtype=torch.bfloat16  autocast=True
########################################################################
  Phase 17C: 454M staged continuation 1024 → 2048
  Strategy: TRAIN ALL FIRST, then EVAL ALL (avoids compile OOM)
########################################################################
  device=cuda dtype=torch.bfloat16 autocast=True
  L_train=2048 tau*=1.414214 tokens=500M seed=42
  lr=2.0e-04 micro_bs=5 grad_accum=4 effective_bs=20
  passkey_mix=5.00%
  dataset=fineweb-edu
  eval_lengths=[2048, 4096, 8192, 16384, 24576, 32768, 40960, 49152]
  geo_init: /root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  evq_init: /root/autodl-tmp/evq_phase17b/454m_evq_seed42_continue1024/model.pt

########################################################################
  PHASE 1: TRAINING (all models)
########################################################################

  Loading training data...
  [data] loading stage-3 cache: /root/autodl-tmp/evq_phase17c_2048_continue/data/train_rechunk_stage3_500000000_2048.pt
  [data] cached: 244140 chunks (500.0M tokens)
  train_data: torch.Size([244140, 2048]) (500M tokens)
  Loading validation data...
  Using cached val: /root/autodl-tmp/evq_phase17/val_proof-pile-2_5000000.pt
  [passkey-train] loading cached mixed tensor: /root/autodl-tmp/evq_phase17c_2048_continue/data/mixed_fineweb-edu_seed42_pk5_500000000_2048.pt
  [passkey-train] cached shape=(244140, 2048)

========================================================================
  TRAIN: geo_454m_1024_to_2048_continue  |  init=/root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  Continue @L=2048, tokens=500M, seed=42, tau=1.414214
========================================================================
  Model params: 454.2M
  torch.compile enabled (reduce-overhead)
  inv_freq set: max=1.00000000 min=0.00000301
  checkpoint_steps=[3051, 6103, 9155, 12207]
  Train cfg: lr=2.0e-04, min_lr=2.0e-05, micro_bs=5, grad_accum=4, effective_bs=20, chunks=244140, steps=12207, warmup=244, gpu_chunks=8
    step 2501/12207  loss=0.7885  lr=1.85e-04  GPU=27.0GB  ETA=131min
    step 2551/12207  loss=0.7649  lr=1.84e-04  GPU=27.0GB  ETA=130min
    step 2601/12207  loss=0.8779  lr=1.83e-04  GPU=27.0GB  ETA=130min
    step 2651/12207  loss=0.7551  lr=1.83e-04  GPU=27.0GB  ETA=129min
    step 2701/12207  loss=0.7187  lr=1.82e-04  GPU=27.0GB  ETA=128min
    step 2751/12207  loss=0.6504  lr=1.81e-04  GPU=27.0GB  ETA=128min
    step 2801/12207  loss=0.5156  lr=1.80e-04  GPU=27.0GB  ETA=127min
    step 2851/12207  loss=0.4483  lr=1.80e-04  GPU=27.0GB  ETA=126min
    step 2901/12207  loss=0.7305  lr=1.79e-04  GPU=27.0GB  ETA=126min
    step 2951/12207  loss=0.8566  lr=1.78e-04  GPU=27.0GB  ETA=125min
    step 3001/12207  loss=0.8120  lr=1.77e-04  GPU=27.0GB  ETA=124min
  [gpu-chunk 3/8] loaded (30517, 2048) (0.5GB)
    step 3051/12207  loss=0.7649  lr=1.77e-04  GPU=27.0GB  ETA=124min

  [CKPT-SAVE] geo_454m_1024_to_2048_continue step_03051 (25.0%)
    step 3101/12207  loss=0.5996  lr=1.76e-04  GPU=27.0GB  ETA=123min
    step 3151/12207  loss=0.5633  lr=1.75e-04  GPU=27.0GB  ETA=122min
    step 3201/12207  loss=0.8217  lr=1.74e-04  GPU=27.0GB  ETA=122min
    step 3251/12207  loss=0.6968  lr=1.73e-04  GPU=27.0GB  ETA=121min
    step 3301/12207  loss=0.4761  lr=1.73e-04  GPU=27.0GB  ETA=120min
    step 3351/12207  loss=0.5615  lr=1.72e-04  GPU=27.0GB  ETA=120min
    step 3401/12207  loss=0.8229  lr=1.71e-04  GPU=27.0GB  ETA=119min
    step 3451/12207  loss=0.7183  lr=1.70e-04  GPU=27.0GB  ETA=118min
    step 3501/12207  loss=0.8682  lr=1.69e-04  GPU=27.0GB  ETA=118min
    step 3551/12207  loss=0.7516  lr=1.68e-04  GPU=27.0GB  ETA=117min
    step 3601/12207  loss=0.5487  lr=1.67e-04  GPU=27.0GB  ETA=116min
    step 3651/12207  loss=0.7437  lr=1.66e-04  GPU=27.0GB  ETA=116min
    step 3701/12207  loss=0.7797  lr=1.65e-04  GPU=27.0GB  ETA=115min
    step 3751/12207  loss=0.7265  lr=1.64e-04  GPU=27.0GB  ETA=114min
    step 3801/12207  loss=0.6551  lr=1.64e-04  GPU=27.0GB  ETA=113min
    step 3851/12207  loss=0.6373  lr=1.63e-04  GPU=27.0GB  ETA=113min
    step 3901/12207  loss=0.7520  lr=1.62e-04  GPU=27.0GB  ETA=112min
    step 3951/12207  loss=0.8614  lr=1.61e-04  GPU=27.0GB  ETA=111min
    step 4001/12207  loss=0.7991  lr=1.60e-04  GPU=27.0GB  ETA=111min
    step 4051/12207  loss=0.6878  lr=1.59e-04  GPU=27.0GB  ETA=110min
    step 4101/12207  loss=0.6772  lr=1.58e-04  GPU=27.0GB  ETA=109min
