d,L,k_optimal,x0_optimal,k_formula,x0_formula,score_standard,score_formula,score_optimal,impr_formula_pct,impr_opt_pct,formula_vs_opt_gap_pct
64,4096,0.247,31.0,0.25069841269978527,31.36087350002562,0.1611651092767715,0.06810380816459655,0.0671172961592674,57.74283374967918,58.35494638978852,0.61211264010934
64,8192,0.25,31.0,0.25069841269978527,31.489301031590657,0.1557314544916153,0.06812491193413733,0.0665769577026367,56.25487981440176,57.24886926666362,0.9939894522618559
64,16384,0.259,30.5,0.25069841269978527,31.617728563155694,0.20181655138731,0.11791725978255271,0.1112596839666366,41.572056914075674,44.87088239204127,3.298825477965596
64,32768,0.245,31.0,0.25069841269978527,31.74615609472073,0.2026785038411617,0.11819168999791146,0.1142665669322013,41.68513791154794,43.62176315365367,1.9366252421057266
64,65536,0.243,31.0,0.25069841269978527,31.874583626285766,0.2046402372419834,0.1145059272646904,0.114135056734085,44.04525287503005,44.22648337769354,0.18123050266348864
64,131072,0.257,31.0,0.25069841269978527,32.00301115785081,0.2057641170918941,0.11751320660114288,0.1156432777643203,42.88935881436433,43.79813186150717,0.9087730471428443
128,4096,0.1249999999999999,63.0,0.12534920634989263,61.1806166212708,0.1630828976631164,0.059779788553714755,0.0577023215591907,63.343925445080664,64.61779721477139,1.273871769690724
128,8192,0.1249999999999999,63.0,0.12534920634989263,61.30904415283584,0.1559835150837898,0.05896634683012962,0.0572285987436771,62.19706499212136,63.31112379860425,1.1140588064828874
128,16384,0.1299999999999999,62.0,0.12534920634989263,61.43747168440087,0.190299105644226,0.09430196806788445,0.0896727889776229,50.445396078641146,52.87797665992671,2.4325805812855656
128,32768,0.1189999999999999,63.0,0.12534920634989263,61.565899215965906,0.1895056910812854,0.09455880075693131,0.091063305735588,50.10239522760725,51.94692823418803,1.844533006580772
128,65536,0.122,63.0,0.12534920634989263,61.694326747530944,0.1909956194460392,0.09331680312752724,0.091870367527008,51.14191445951385,51.899227954302084,0.7573134947882371
128,131072,0.1279999999999999,63.0,0.12534920634989263,61.82275427909598,0.1916980877518654,0.09378252997994423,0.0912127047777175,51.07800443928443,52.41856303971926,1.3405586004348269
256,4096,0.065,121.0,0.06267460317494632,120.82010286376115,0.164438085258007,0.05672479048371315,0.0559890866279602,65.50386098529991,65.95126576661843,0.44740478131852257
256,8192,0.066,121.0,0.06267460317494632,120.94853039532619,0.1563281491398811,0.05538711920380593,0.0547297596931457,64.56996420123544,64.99046397320679,0.4204997719713459
256,16384,0.067,121.0,0.06267460317494632,121.07695792689123,0.1842806208878755,0.07988602556288242,0.0785613730549812,56.649795741957796,57.36861929568741,0.71882355372961
256,32768,0.065,120.0,0.06267460317494632,121.20538545845626,0.1811188012361526,0.08052835203707218,0.0790209099650383,55.538380616778205,56.37067525529472,0.8322946385165123
256,65536,0.066,120.0,0.06267460317494632,121.3338129900213,0.181566758826375,0.08007913827896118,0.0789850652217865,55.89548505652533,56.498058492459656,0.602573435934328
256,131072,0.066,121.0,0.06267460317494632,121.46224052158634,0.1816924609243869,0.07977858521044254,0.0794043019413948,56.091416889530066,56.29741512806099,0.20599823853092794
