table_id,family,N_prime,j,m_j,nu_j,T_j,D_j,r_j_native,rL_j_deployed_128K,eps_gap_next,lambda_gap_next,rho_gap_next
ramp_N17,ramp,17,0,0.0,1.0,6.283185307179586,32768.0,5215.189175235227,20860.756700940907,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,1,0.0,0.8058421877614819,7.79704190547954,32768.0,4202.6194545615535,16810.477818246214,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,2,0.0,0.6493816315762113,9.675643722673103,32768.0,3386.6480555928474,13546.59222237139,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,3,0.0,0.5232991146814947,12.00687165504539,32768.0,2729.1038782971086,10916.415513188434,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,4,0.0,0.4216965034285823,14.89978042524532,32768.0,2199.2270399152867,8796.908159661147,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,5,0.0,0.33982083289425596,18.489700156596232,32768.0,1772.2299292295424,7088.91971691817,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,6,0.0,0.27384196342643613,22.944567109297246,32768.0,1428.1376433867106,5712.550573546842,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,7,0.0,0.220673406908459,28.47277973002888,32768.0,1150.8535629712737,4603.414251885095,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,8,0.0,0.1778279410038923,35.33294752055899,32768.0,927.4063529778675,3709.62541191147,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,9,0.0,0.14330125702369628,43.84598877692049,32768.0,747.3431644275819,2989.3726577103275,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,10,0.0,0.11547819846894583,54.41014313077674,32768.0,602.2406506309114,2408.9626025236457,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,11,0.0,0.0930572040929699,67.51960117888665,32768.0,485.31092346331184,1941.2436938532474,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,12,0.0,0.07498942093324559,83.78762269377675,32768.0,391.0840163082203,1564.3360652328813,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,13,0.0,0.060429639023813285,103.9752248843253,32768.0,315.1519993003633,1260.6079972014531,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,14,0.0,0.04869675251658632,129.0267827416111,32768.0,253.96277659360973,1015.8511063744389,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,15,0.0,0.039241897584845364,160.11420685237348,32768.0,204.65391950017494,818.6156780006997,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,16,0.0,0.0316227766016838,198.691765315922,32768.0,164.91876222398315,659.6750488959326,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,17,0.0,0.025482967479793468,246.56411433094644,32768.0,132.89849615349019,531.5939846139607,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,18,0.0,0.020535250264571463,305.97071991957563,32768.0,107.09521489053942,428.3808595621577,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,19,0.0,0.016548170999431816,379.6906200325897,32768.0,86.30184226617831,345.20736906471325,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,20,0.0,0.013335214321633242,471.17242780167385,32768.0,69.54566537962346,278.18266151849383,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,21,0.0,0.010746078283213176,584.6956574841605,32768.0,56.0428311388437,224.1713245553748,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,22,0.0,0.008659643233600654,725.5709199196485,32768.0,45.16167765327311,180.64671061309244,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,23,0.0,0.006978305848598664,900.3883526316538,32768.0,36.39318512309242,145.5727404923697,0.006535947712418301,1.0091019202888076,1.2522326773334531
ramp_N17,ramp,17,24,0.006535947712418301,0.005572691062062449,1127.495717455793,33066.25172402365,29.327163919201414,116.25055241519273,0.0130718954248366,1.018286685530559,1.2636303993455824
ramp_N17,ramp,17,25,0.0196078431372549,0.004410064101772538,1424.7378637090976,33670.92387097517,23.63306593348886,91.99727426263041,0.0196078431372549,1.0275550497734123,1.27513186251494
ramp_N17,ramp,17,26,0.0392156862745098,0.003458516120109004,1816.7286457469384,34598.72785415667,19.044521555354013,72.14726332787605,0.026143790849673207,1.0369077739288115,1.2867380110852695
ramp_N17,ramp,17,27,0.06535947712418301,0.002687816859620085,2337.653804310051,35875.68988002236,15.346878915037175,56.06989356522163,0.0326797385620915,1.0463456258339565,1.2984497978947467
ramp_N17,ramp,17,28,0.09803921568627451,0.002070019852887652,3035.3261097542713,37538.37117973694,12.367162480204113,43.1821805172068,0.03921568627450982,1.0558693803148398,1.310268184454203
ramp_N17,ramp,17,29,0.13725490196078433,0.0015798443993738018,3977.091231054168,39635.616715577286,9.965981269449397,32.956749640681,0.04575163398692808,1.065479819249858,1.3221941410260658
ramp_N17,ramp,17,30,0.1830065359477124,0.0011948656784606464,5258.486724025965,42230.94973396994,8.031008149363052,24.92580220867223,0.052287581699346414,1.0751777316340034,1.3342286467040134
ramp_N17,ramp,17,31,0.23529411764705882,0.0008955479118308247,7016.023625508184,45405.77673971942,6.471725177013011,18.681807102738514,0.05882352941176472,1.084963913643637,1.346372689493357
ramp_N17,ramp,17,32,0.29411764705882354,0.0006651560290990611,9446.182598224388,49263.629233555206,5.215189175235228,13.875658091199483,0.065359477124183,1.0948391687018542,1.358627266392153
ramp_N17,ramp,17,33,0.35947712418300654,0.000489579478899602,12833.841241266728,53935.75087730195,4.202619454561554,10.21299839509803,0.07189542483660133,1.104804307544443,1.3709933834730552
ramp_N17,ramp,17,34,0.43137254901960786,0.00035709835277204603,17595.111426320305,59588.44989988716,3.3866480555928478,7.449341855484419,0.07843137254901955,1.1148601482864435,1.3834720559659093
ramp_N17,ramp,17,35,0.5098039215686274,0.00025811750315602,24342.344979920614,66432.78809154751,2.7291038782971095,5.384526433592079,0.08496732026143794,1.1250075164893152,1.396064308341104
ramp_N17,ramp,17,36,0.5947712418300654,0.0001848894077542404,33983.479007793416,74737.38594433283,2.199227039915287,3.856932951742266,0.09150326797385622,1.1352472452287103,1.4087711743936742
ramp_N17,ramp,17,37,0.6862745098039216,0.0001312416175989799,47874.94563179191,84845.41150889877,1.7722299292295427,2.737799453770244,0.0980392156862745,1.1455801751628705,1.421593697328175
ramp_N17,ramp,17,38,0.7843137254901961,9.232006152365683e-05,68058.72097008441,97197.22137813008,1.428137643386711,1.9258663420609008,0.10457516339869277,1.156007154601641,1.4345329298443275
