model,length,loss,ppl,status
Standard,1024,0.020315849222242832,1.0205236207199082,ok
Standard,2048,0.02091982215642929,1.0211401755379899,ok
Standard,4096,0.01798943616449833,1.018152220740408,ok
Standard,8192,0.07563037239015102,1.0785638334972,ok
Standard,16384,0.19413666427135468,1.2142622178785272,ok
Standard,32768,0.7278183698654175,2.0705584838830915,ok
Sigmoid,1024,0.024970246478915215,1.0252846142432086,ok
Sigmoid,2048,0.020781895145773888,1.0209993424386852,ok
Sigmoid,4096,0.01791343279182911,1.018074840678351,ok
Sigmoid,8192,0.02650532405823469,1.0268597143080465,ok
Sigmoid,16384,0.16288423538208008,1.1769004383725004,ok
Sigmoid,32768,0.4005890488624573,1.4927037141488217,ok
