model,bin,position_center,loss
Standard,1,64.5,0.041382718831300735
Standard,2,192.5,0.016226239502429962
Standard,3,320.5,0.024882201105356216
Standard,4,448.5,0.024963073432445526
Standard,5,576.5,0.018955055624246597
Standard,6,704.5,0.017534397542476654
Standard,7,832.5,0.021108541637659073
Standard,8,960.5,0.03706548735499382
Standard,9,1088.5,0.014947498217225075
Standard,10,1216.5,0.019020430743694305
Standard,11,1344.5,0.017071647569537163
Standard,12,1472.5,0.0231882706284523
Standard,13,1600.5,0.03436584770679474
Standard,14,1728.5,0.015623778104782104
Standard,15,1856.5,0.021797023713588715
Standard,16,1984.5,0.014913791790604591
Standard,17,2112.5,0.017702996730804443
Standard,18,2240.5,0.019009269773960114
Standard,19,2368.5,0.014893033541738987
Standard,20,2496.5,0.024085134267807007
Standard,21,2624.5,0.03503487631678581
Standard,22,2752.5,0.01623857393860817
Standard,23,2880.5,0.018492069095373154
Standard,24,3008.5,0.016872769221663475
Standard,25,3136.5,0.016384169459342957
Standard,26,3264.5,0.020434290170669556
Standard,27,3392.5,0.0148692075163126
Standard,28,3520.5,0.018992632627487183
Standard,29,3648.5,0.016444256529211998
Standard,30,3776.5,0.01894492097198963
Standard,31,3904.5,0.01901029609143734
Standard,32,4032.5,0.013716025277972221
Sigmoid,1,64.5,0.04286012798547745
Sigmoid,2,192.5,0.017617501318454742
Sigmoid,3,320.5,0.017748592421412468
Sigmoid,4,448.5,0.014828009530901909
Sigmoid,5,576.5,0.01812789961695671
Sigmoid,6,704.5,0.03671196103096008
Sigmoid,7,832.5,0.014916962012648582
Sigmoid,8,960.5,0.019033310934901237
Sigmoid,9,1088.5,0.01640867441892624
Sigmoid,10,1216.5,0.01771143078804016
Sigmoid,11,1344.5,0.019038278609514236
Sigmoid,12,1472.5,0.016297083348035812
Sigmoid,13,1600.5,0.0179288387298584
Sigmoid,14,1728.5,0.018503781408071518
Sigmoid,15,1856.5,0.017147814854979515
Sigmoid,16,1984.5,0.017552699893712997
Sigmoid,17,2112.5,0.016408145427703857
Sigmoid,18,2240.5,0.019126877188682556
Sigmoid,19,2368.5,0.017746832221746445
Sigmoid,20,2496.5,0.014795267954468727
Sigmoid,21,2624.5,0.02033567987382412
Sigmoid,22,2752.5,0.01507294736802578
Sigmoid,23,2880.5,0.019136682152748108
Sigmoid,24,3008.5,0.01620914414525032
Sigmoid,25,3136.5,0.016306832432746887
Sigmoid,26,3264.5,0.018676988780498505
Sigmoid,27,3392.5,0.03219729661941528
Sigmoid,28,3520.5,0.017553003504872322
Sigmoid,29,3648.5,0.01628788374364376
Sigmoid,30,3776.5,0.01898381859064102
Sigmoid,31,3904.5,0.01662992127239704
Sigmoid,32,4032.5,0.017833881080150604
