L,score_standard,score_formula,score_optimal,improve_formula,improve_optimal
4096,0.1723749076326688,0.22986915508906045,0.06848078966140743,-0.33354186085431864,0.6027218195391867
8192,0.16521374185880022,0.2236448148886362,0.06703146050373711,-0.353669569930654,0.5942743033988935
16384,0.20022772277394926,0.2621320615212122,0.10154394308725988,-0.3091696688632422,0.49285772379332426
32768,0.19993022059400878,0.31862959116697304,0.10265705486138656,-0.5937039944251493,0.4865355794817603
65536,0.20074179495374356,0.32847962429126104,0.10413011163473124,-0.636329018413688,0.48127338575045775
131072,0.19900904123981789,0.3308205127716064,0.10425603389739986,-0.6623391113821193,0.47612413361780354
