step,train_loss,val_loss,lr,elapsed_sec
1,11.006110191345215,10.983024597167969,6e-07,1.6831395626068115
100,7.961836338043213,7.725086092948914,5.9999999999999995e-05,159.71111297607422
200,7.174721717834473,6.53670072555542,0.00011999999999999999,319.51253056526184
300,6.338201522827148,6.100985050201416,0.00017999999999999998,479.3167235851288
400,6.0209174156188965,5.642911672592163,0.00023999999999999998,639.1929309368134
500,5.250673770904541,5.361009299755096,0.0003,799.2581825256348
600,5.33384895324707,5.118518054485321,0.0002999196204822032,959.4261102676392
700,5.029716491699219,4.9269514083862305,0.000299675314262394,1119.3813729286194
800,5.004437446594238,4.832487106323242,0.0002992673402839497,1279.285321712494
900,4.505455017089844,4.739727020263672,0.000298696144660426,1439.3092229366302
1000,4.240912914276123,4.624545395374298,0.0002979623519858508,1599.3422033786774
1100,4.301184177398682,4.4632046818733215,0.0002970667646517405,1759.3727855682373
1200,3.951054096221924,4.39331579208374,0.00029601036196969595,1919.50572681427
1300,4.11842155456543,4.324556648731232,0.0002947942991005401,2079.5782918930054
1400,4.040088176727295,4.245917588472366,0.00029341990579116625,2239.5932688713074
1500,3.218944549560547,4.203195333480835,0.0002918886849204797,2399.5710241794586
1600,3.4811038970947266,4.108312964439392,0.00029020231085602114,2559.5511977672577
1700,3.3989415168762207,4.066224157810211,0.0002883626276230712,2719.531464576721
1800,3.7693846225738525,4.026843160390854,0.000286371646888235,2879.658623456955
1900,3.0737104415893555,3.966696411371231,0.0002842315457597149,3039.789831161499
2000,2.863067865371704,3.931506246328354,0.0002819446644066742,3199.7316269874573
2100,3.3713932037353516,3.788729190826416,0.00027951350350029685,3362.000958919525
2200,3.052128791809082,3.6912789940834045,0.00027694072147934007,3522.182071685791
2300,2.5391693115234375,3.686627835035324,0.00027422913164317045,3682.177639245987
2400,2.4954638481140137,3.639704167842865,0.0002713816990754628,3842.062884092331
2500,3.026599884033203,3.6245382130146027,0.0002684015374019242,4002.1278965473175
2600,3.004667282104492,3.607843965291977,0.0002652919053855905,4162.138081789017
2700,2.6810011863708496,3.607268810272217,0.0002620562033634164,4322.201146602631
2800,2.536475658416748,3.5958938896656036,0.00025869796952805697,4482.112323760986
2900,2.1890313625335693,3.6477517783641815,0.0002552208760589061,4642.142466783524
3000,2.1408188343048096,3.6304288804531097,0.00025162872510662215,4802.154752492905
3100,2.3594894409179688,3.640103578567505,0.00024792544463553203,4962.1479370594025
3200,1.4531363248825073,3.6593667566776276,0.00024411508412845983,5122.099421977997
