d,L,search_mode,num_samples,k_optimal,x0_optimal,k_formula,x0_formula,score_optimal,score_formula,score_standard,score_optimal_short,score_optimal_mid,score_optimal_long,score_formula_short,score_formula_mid,score_formula_long,score_standard_short,score_standard_mid,score_standard_long
64,4096,coarse,1800,0.28,29.0,0.596238688988391,15.5,0.07366208732128143,0.2309348791837692,0.17017853409051895,0.19363397359848022,0.1164509728550911,0.0,0.5114369988441467,0.42882493138313293,0.0,0.5253117680549622,0.21705393493175507,0.0
64,8192,coarse,1800,0.28,29.0,0.6600177382615168,15.5,0.07267393171787262,0.22392263412475588,0.16492743492126466,0.19363397359848022,0.11315710097551346,0.0,0.5106176137924194,0.40599703788757324,0.0,0.5253117680549622,0.19955027103424072,0.0
64,16384,coarse,1800,0.28,29.0,0.7237967875346425,15.5,0.11975535750389099,0.27021012231707575,0.20955278277397155,0.19363397359848022,0.10904212296009064,0.09663186222314835,0.5060027837753296,0.40308883786201477,0.09616582840681076,0.5253117680549622,0.194530189037323,0.09226274490356445
64,32768,coarse,1800,0.26,29.0,0.7875758368077681,15.5,0.12065325677394867,0.32282404154539107,0.2113118961453438,0.19593150913715363,0.10783498734235764,0.09823290258646011,0.5038130283355713,0.4123177230358124,0.19673223793506622,0.5253117680549622,0.19468779861927032,0.0956864058971405
64,65536,coarse,1800,0.26,29.0,0.8513548860808938,15.5,0.12223944813013077,0.3290065214037895,0.21294234097003936,0.19593150913715363,0.1121273934841156,0.09882985055446625,0.5041761994361877,0.4162333905696869,0.2066025286912918,0.5253117680549622,0.19592729210853577,0.09820359945297241
64,131072,coarse,1800,0.26,29.0,0.9151339353540195,15.5,0.12402418255805969,0.33296889066696167,0.21152394339442254,0.19593150913715363,0.1127592921257019,0.10202016681432724,0.49918505549430847,0.4233928322792053,0.21222805976867676,0.5253117680549622,0.19686321914196014,0.09480524808168411
128,4096,coarse,1800,0.13999999999999999,58.0,0.2981193444941955,31.5,0.06590783596038818,0.22932444512844086,0.1727347955107689,0.1897600144147873,0.09318610280752182,0.0,0.5058018565177917,0.427213579416275,0.0,0.5344582796096802,0.21947713196277618,0.0
128,8192,coarse,1800,0.13999999999999999,58.0,0.3300088691307584,31.5,0.06435003876686096,0.22336058914661405,0.1650459349155426,0.1897600144147873,0.08799344301223755,0.0,0.5040287375450134,0.40851613879203796,0.0,0.5344582796096802,0.19384759664535522,0.0
128,16384,coarse,1800,0.13999999999999999,58.0,0.36189839376732125,31.5,0.09693928062915802,0.2560176752507687,0.1980744354426861,0.1897600144147873,0.0910378247499466,0.06335185468196869,0.5072457790374756,0.4033021628856659,0.06715574115514755,0.5344582796096802,0.1905898004770279,0.06801167875528336
128,32768,coarse,1800,0.13999999999999999,58.0,0.39378791840388405,31.5,0.09717531502246857,0.3180330008268356,0.19863193929195405,0.1897600144147873,0.08895928412675858,0.06507105380296707,0.5057414174079895,0.41113346815109253,0.18708935379981995,0.5344582796096802,0.19131480157375336,0.068691685795784
128,65536,coarse,1800,0.12000000000000001,58.0,0.4256774430404469,31.5,0.10107535123825073,0.3296160399913788,0.19964212402701378,0.19745980203151703,0.09365055710077286,0.06697644293308258,0.5018332004547119,0.41306638717651367,0.2106589674949646,0.5344582796096802,0.19189411401748657,0.07036446779966354
128,131072,coarse,1800,0.13999999999999999,58.0,0.4575669676770098,31.5,0.0996926873922348,0.3310023322701454,0.19721537008881568,0.1897600144147873,0.08977465331554413,0.06961656361818314,0.500764787197113,0.41990184783935547,0.20975764095783234,0.5344582796096802,0.1915753185749054,0.06570223718881607
256,4096,coarse,1800,0.06,116.0,0.14905967224709776,63.5,0.0658724457025528,0.2293481409549713,0.1742113932967186,0.19738875329494476,0.08798231929540634,0.0,0.5062181949615479,0.4270150065422058,0.0,0.5390576720237732,0.2213328629732132,0.0
256,8192,coarse,1800,0.06,116.0,0.1650044345653792,63.5,0.06407041102647781,0.22365122139453888,0.16566785573959353,0.19738875329494476,0.0819755271077156,0.0,0.5052401423454285,0.4086773097515106,0.0,0.5390576720237732,0.1928544044494629,0.0
256,16384,coarse,1800,0.06,116.0,0.18094919688366062,63.5,0.08793719112873077,0.26016838699579237,0.19305595010519028,0.19738875329494476,0.08180942386388779,0.047833215445280075,0.504035472869873,0.4053480327129364,0.07551376521587372,0.5390576720237732,0.1883934885263443,0.0574527382850647
256,32768,coarse,1800,0.06,116.0,0.19689395920194203,63.5,0.09014259278774261,0.31503173112869265,0.1898468263447285,0.19738875329494476,0.0825856477022171,0.051778294146060944,0.502655029296875,0.41088536381721497,0.18247023224830627,0.5390576720237732,0.18944039940834045,0.05040634423494339
256,65536,coarse,1800,0.06,116.0,0.21283872152022346,63.5,0.08907553553581238,0.3268163114786148,0.1896409198641777,0.19738875329494476,0.08225428313016891,0.04984300583600998,0.503099262714386,0.41470375657081604,0.2035706639289856,0.5390576720237732,0.19045624136924744,0.04938502609729767
256,131072,coarse,1800,0.06,116.0,0.2287834838385049,63.5,0.08905123174190521,0.3284903153777122,0.1882878102362156,0.19738875329494476,0.08351863920688629,0.04903576895594597,0.5031172633171082,0.4207226037979126,0.20330016314983368,0.5390576720237732,0.18831080198287964,0.04796607047319412
