distance,score_standard,score_sigmoid,score_diff
0,1.0,1.0,0.0
1,0.9702138304710388,0.8230651617050171,-0.14714866876602173
2,0.8965915441513062,0.44464415311813354,-0.4519473910331726
3,0.8154098391532898,0.1872326284646988,-0.6281772255897522
4,0.7591567039489746,0.2597409188747406,-0.499415785074234
5,0.7372657656669617,0.577494740486145,-0.15977102518081665
6,0.7354164719581604,0.8444391489028931,0.10902267694473267
7,0.7315911054611206,0.8206899166107178,0.08909881114959717
8,0.714383065700531,0.5341607332229614,-0.18022233247756958
9,0.6891164779663086,0.24844861030578613,-0.44066786766052246
10,0.6690628528594971,0.22032688558101654,-0.44873595237731934
11,0.6616300344467163,0.46844470500946045,-0.19318532943725586
12,0.662209153175354,0.7611721754074097,0.09896302223205566
13,0.6599789261817932,0.8307620882987976,0.1707831621170044
14,0.6488065719604492,0.6165897250175476,-0.03221684694290161
15,0.6325517892837524,0.3168601393699646,-0.31569164991378784
16,0.6203383207321167,0.20472468435764313,-0.41561365127563477
17,0.6171412467956543,0.3789135813713074,-0.23822766542434692
18,0.6190708875656128,0.676220715045929,0.05714982748031616
19,0.6176304817199707,0.823355495929718,0.20572501420974731
20,0.6083444952964783,0.6871757507324219,0.0788312554359436
21,0.5951107144355774,0.39441925287246704,-0.20069146156311035
22,0.5860977172851562,0.2133215218782425,-0.37277621030807495
23,0.5854160189628601,0.30747848749160767,-0.27793753147125244
24,0.5888996124267578,0.5876098275184631,-0.0012897849082946777
25,0.5882164239883423,0.7954528331756592,0.2072364091873169
26,0.5792673826217651,0.7410890460014343,0.1618216633796692
27,0.5665097236633301,0.47575122117996216,-0.09075850248336792
28,0.5587431192398071,0.2429421991109848,-0.31580090522766113
29,0.5602983236312866,0.2543906271457672,-0.3059076964855194
30,0.5663093328475952,0.4969245195388794,-0.06938481330871582
31,0.5670433044433594,0.7464615702629089,0.17941826581954956
32,0.5574657917022705,0.7747266292572021,0.21726083755493164
33,0.5427800416946411,0.5582725405693054,0.015492498874664307
34,0.5340945720672607,0.2986189126968384,-0.23547565937042236
35,0.5377659797668457,0.23629936575889587,-0.30146661400794983
36,0.5484775304794312,0.43015924096107483,-0.11831828951835632
37,0.5532345175743103,0.7039273977279663,0.150692880153656
38,0.5433660745620728,0.8079081773757935,0.2645421028137207
39,0.5235862731933594,0.6467233896255493,0.12313711643218994
40,0.5090441107749939,0.364690363407135,-0.1443537473678589
41,0.5119971632957458,0.21201542019844055,-0.2999817430973053
42,0.5297492742538452,0.3159252107143402,-0.213824063539505
43,0.5453402996063232,0.5668673515319824,0.02152705192565918
44,0.5415871143341064,0.7230147123336792,0.18142759799957275
45,0.5168033838272095,0.6354889869689941,0.11868560314178467
46,0.4880526065826416,0.3864988088607788,-0.10155379772186279
47,0.47795987129211426,0.21347229182720184,-0.2644875645637512
48,0.4954855442047119,0.28929710388183594,-0.20618844032287598
49,0.5270324945449829,0.5608628988265991,0.03383040428161621
50,0.546172022819519,0.7944288849830627,0.2482568621635437
51,0.5346739292144775,0.7866709232330322,0.2519969940185547
52,0.49770352244377136,0.548699140548706,0.05099561810493469
53,0.46053463220596313,0.2954331934452057,-0.16510143876075745
54,0.4492425322532654,0.2507944703102112,-0.1984480619430542
55,0.47086185216903687,0.4468393921852112,-0.024022459983825684
56,0.5085972547531128,0.6990817785263062,0.19048452377319336
57,0.535132646560669,0.7781800031661987,0.24304735660552979
58,0.5327227115631104,0.6190536618232727,0.08633095026016235
59,0.5043861269950867,0.376217782497406,-0.12816834449768066
60,0.46897241473197937,0.2769682705402374,-0.19200414419174194
61,0.4461284279823303,0.4098747670650482,-0.036253660917282104
62,0.44394221901893616,0.6441274285316467,0.20018520951271057
63,0.45758503675460815,0.7531908750534058,0.2956058382987976
64,0.4768759608268738,0.6272242069244385,0.1503482460975647
65,0.4940817952156067,0.37703102827072144,-0.11705076694488525
66,0.5055778622627258,0.23282380402088165,-0.27275407314300537
67,0.5086572766304016,0.33083149790763855,-0.17782577872276306
68,0.4996635615825653,0.5848631858825684,0.08519962430000305
69,0.4771236181259155,0.7623949646949768,0.2852713465690613
70,0.4468119144439697,0.6967322826385498,0.24992036819458008
71,0.4220978617668152,0.44109246134757996,0.01899459958076477
72,0.416675865650177,0.22267881035804749,-0.19399705529212952
73,0.4344716966152191,0.237446591258049,-0.1970251053571701
74,0.46548235416412354,0.4720920920372009,0.006609737873077393
75,0.49207478761672974,0.7153722047805786,0.22329741716384888
76,0.5012298822402954,0.7485123872756958,0.2472825050354004
77,0.49269530177116394,0.5416980981826782,0.04900279641151428
78,0.47643446922302246,0.2788529694080353,-0.19758149981498718
79,0.4622865915298462,0.18979020416736603,-0.27249640226364136
80,0.4516873359680176,0.34364163875579834,-0.10804569721221924
81,0.43907731771469116,0.5909427404403687,0.1518654227256775
82,0.421159952878952,0.7045131921768188,0.2833532392978668
83,0.40430209040641785,0.587908148765564,0.18360605835914612
84,0.4017220437526703,0.36048832535743713,-0.041233718395233154
85,0.4218066334724426,0.24336591362953186,-0.17844071984291077
86,0.4580329358577728,0.35355591773986816,-0.10447701811790466
87,0.49071162939071655,0.5964372754096985,0.10572564601898193
88,0.5006822347640991,0.7542330026626587,0.25355076789855957
89,0.48400139808654785,0.687078595161438,0.20307719707489014
90,0.4548439383506775,0.460469126701355,0.00562518835067749
91,0.4335395395755768,0.28235357999801636,-0.15118595957756042
92,0.4296780824661255,0.30965304374694824,-0.12002503871917725
